id,date_published,accident_datetime,accident_severity,total_injured,city,street,accident_time_category,driver_under_18,driver_18_to_24,driver_25_to_49,driver_50_to_64,driver_65_plus,driver_age_unknown,num_drivers_under_18,num_drivers_18_to_24,num_drivers_25_to_49,num_drivers_50_to_64,num_drivers_65_plus,num_drivers_age_unknown,driver_male,driver_female,driver_gender_unknown,num_drivers_male,num_drivers_female,num_drivers_gender_unknown,num_drivers_total,vehicle_unknown,vehicle_pedestrian,vehicle_bicycle,vehicle_motorbike,vehicle_car,vehicle_van,vehicle_bus,num_vehicle_unknown,num_vehicle_pedestrian,num_vehicle_bicycle,num_vehicle_motorbike,num_vehicle_car,num_vehicle_van,num_vehicle_bus,is_weekend,is_public_holiday_mt,is_school_holiday_mt,is_school_day_mt,street_type,region,temperature_max,temperature_min,temperature_mean,precipitation_sum,windspeed_max,is_raining,traffic_level,accident_year,accident_month,accident_day_of_week,accident_hour
article_495320.0,30/09/2025,2024-03-19 00:00:00,not injured,0,birkirkara,naxxar road,night,False,False,False,False,False,True,0,0,0,0,0,1,False,True,False,0,1,0,1,False,False,False,False,True,False,False,0,0,0,0,1,0,0,False,True,False,False,primary,Central,19.8,12.1,16.0,0.0,20.9,False,LOW,2024,3,1,0
article_495942.0,06/10/2025,2024-09-23 00:00:00,not injured,0,san pawl il bahar,triq censu tabone,night,False,False,True,False,False,True,0,0,1,0,0,1,True,False,False,2,0,0,2,False,False,False,True,True,False,False,0,0,0,1,1,0,0,False,False,False,True,residential,Northern,26.5,20.8,23.5,7.3,22.7,True,LOW,2024,9,0,0
article_4208.0,07/12/2024,2024-12-04 17:00:00,not injured,0,st julian,regional road,afternoon,False,False,False,False,True,True,0,0,0,0,1,1,True,False,True,1,0,1,2,False,False,False,False,True,False,False,0,0,0,0,2,0,0,False,False,False,True,trunk,Northern,19.5,14.7,17.6,1.1,21.9,True,MODERATE,2024,12,2,17
release_83,11/12/2024,2024-12-11 11:15:00,grievious,1,naxxar,triq ernle bradford,morning,False,False,True,False,False,False,0,0,1,0,0,0,False,True,False,0,1,0,1,False,False,False,False,True,False,False,0,0,0,0,1,0,0,False,False,False,True,residential,Northern,18.0,12.1,14.9,0.0,9.9,False,LOW,2024,12,2,11
article_4024.0,17/12/2024,2024-12-11 17:00:00,fatal,1,san pawl il bahar,xemxija bypass,afternoon,False,False,False,True,False,False,0,0,0,1,0,0,True,False,False,1,0,0,1,False,False,False,True,False,False,False,0,0,0,1,0,0,0,False,False,False,True,trunk,Northern,18.4,12.5,15.4,0.0,9.9,False,LOW,2024,12,2,17
release_91,14/12/2024,2024-12-13 17:30:00,serious,1,mellieha,triq il-marfa,afternoon,False,False,False,True,False,False,0,0,0,1,0,0,True,False,False,1,0,0,1,False,False,False,False,True,False,False,0,0,0,0,1,0,0,False,True,True,False,trunk,Northern,20.9,18.4,19.5,0.0,28.4,False,LOW,2024,12,4,17
release_22,14/12/2024,2024-12-13 19:45:00,serious,1,gudja,dawret il-gudja,evening,False,False,False,True,False,True,0,0,0,1,0,1,True,False,True,1,0,1,2,False,False,False,False,True,False,False,0,0,0,0,2,0,0,False,True,True,False,primary,South Eastern,20.3,17.8,19.0,0.0,28.2,False,LOW,2024,12,4,19
article_4049.0,16/12/2024,2024-12-15 20:30:00,serious,1,xewkija,triq l-imgarr,evening,False,False,True,False,True,False,0,0,1,0,1,0,True,True,False,1,1,0,2,False,False,False,True,True,False,False,0,0,0,1,1,0,0,True,False,False,False,secondary,Gozo,17.9,13.8,16.2,4.3,41.7,True,LOW,2024,12,6,20
article_4014.0,17/12/2024,2024-12-17 14:15:00,slight,4,siggiewi,triq mons mikiel azzopardi,afternoon,False,False,True,True,False,False,0,0,1,1,0,0,True,False,False,2,0,0,2,False,False,False,False,False,True,False,0,0,0,0,0,2,0,False,False,False,True,residential,Central,16.4,12.4,14.3,0.0,19.2,False,LOW,2024,12,1,14
article_3989.0,19/12/2024,2024-12-19 00:00:00,not injured,0,blata l-bajda,triq dicembru tlettax,night,False,False,False,False,False,True,0,0,0,0,0,2,False,False,True,0,0,2,2,False,False,False,False,True,False,True,0,0,0,0,1,0,1,False,False,False,True,trunk,Central,17.1,14.9,15.9,0.0,23.7,False,LOW,2024,12,3,0
release_63,19/12/2024,2024-12-19 08:15:00,grievious,1,balzan,triq il-kannizzata,morning,False,True,False,False,False,False,0,1,0,0,0,0,False,True,False,0,1,0,1,False,False,False,False,True,False,False,0,0,0,0,1,0,0,False,False,False,True,residential,Central,17.1,14.9,16.0,0.4,25.4,True,LOW,2024,12,3,8
release_108,19/12/2024,2024-12-19 10:45:00,serious,1,naxxar,triq il-germanja,morning,False,False,False,False,True,False,0,0,0,0,1,0,False,True,False,0,1,0,1,False,False,False,False,True,False,False,0,0,0,0,1,0,0,False,False,False,True,residential,Northern,17.1,14.9,16.0,0.4,25.4,True,MODERATE,2024,12,3,10
