release_id,date_published,accident_datetime,accident_date,accident_time,accident_hour,time_of_day_category,accident_day_of_week,accident_is_weekend,time_confidence,publication_delay_hours
1,2025-10-09,2025-10-09 09:30:00,2025-10-09,09:30,9,Morning (06:00-12:00),3,0,high,-9.5
2,2025-06-20,2025-06-19 18:30:00,2025-06-19,18:30,18,Evening (18:00-00:00),3,0,high,5.5
3,2025-05-12,2025-05-12 08:00:00,2025-05-12,08:00,8,Morning (06:00-12:00),0,0,high,-8.0
4,2025-07-30,2025-07-29 18:00:00,2025-07-29,18:00,18,Evening (18:00-00:00),1,0,high,6.0
5,2025-04-07,2025-04-06 20:45:00,2025-04-06,20:45,20,Evening (18:00-00:00),6,1,high,3.25
6,2025-04-16,2025-04-15 08:50:00,2025-04-15,08:50,8,Morning (06:00-12:00),1,0,high,15.166666666666666
7,2025-07-23,2025-07-23 10:30:00,2025-07-23,10:30,10,Morning (06:00-12:00),2,0,high,-10.5
8,2025-08-03,2025-08-03 08:15:00,2025-08-03,08:15,8,Morning (06:00-12:00),6,1,high,-8.25
9,2025-06-14,2025-06-14 15:45:00,2025-06-14,15:45,15,Afternoon (12:00-18:00),5,1,high,-15.75
10,2024-12-28,2024-12-28 09:15:00,2024-12-28,09:15,9,Morning (06:00-12:00),5,1,high,-9.25
11,2025-03-16,2025-03-16 08:00:00,2025-03-16,08:00,8,Morning (06:00-12:00),6,1,high,-8.0
12,2025-04-22,2025-04-22 13:00:00,2025-04-22,13:00,13,Afternoon (12:00-18:00),1,0,high,-13.0
13,2025-05-08,2025-05-08 10:15:00,2025-05-08,10:15,10,Morning (06:00-12:00),3,0,high,-10.25
14,2025-06-14,2025-06-13 22:00:00,2025-06-13,22:00,22,Evening (18:00-00:00),4,0,high,2.0
15,2025-09-21,2025-09-21 08:30:00,2025-09-21,08:30,8,Morning (06:00-12:00),6,1,high,-8.5
16,2025-04-17,2025-04-17 00:00:00,2025-04-17,,0,Night (00:00-06:00),3,0,low,0.0
17,2025-02-21,2025-02-21 09:00:00,2025-02-21,09:00,9,Morning (06:00-12:00),4,0,medium,-9.0
18,2024-12-22,2024-12-22 10:15:00,2024-12-22,10:15,10,Morning (06:00-12:00),6,1,high,-10.25
19,2025-02-21,2025-02-21 13:30:00,2025-02-21,13:30,13,Afternoon (12:00-18:00),4,0,high,-13.5
20,2025-09-14,2025-09-14 21:00:00,2025-09-14,21:00,21,Evening (18:00-00:00),6,1,high,-21.0
21,2025-08-30,2025-08-29 15:15:00,2025-08-29,15:15,15,Afternoon (12:00-18:00),4,0,high,8.75
22,2024-12-14,2024-12-13 19:45:00,2024-12-13,19:45,19,Evening (18:00-00:00),4,0,high,4.25
23,2025-05-07,2025-05-07 10:00:00,2025-05-07,10:00,10,Morning (06:00-12:00),2,0,high,-10.0
24,2025-05-07,2025-05-07 13:15:00,2025-05-07,13:15,13,Afternoon (12:00-18:00),2,0,high,-13.25
25,2024-12-27,2024-12-27 07:45:00,2024-12-27,07:45,7,Morning (06:00-12:00),4,0,manual,-7.75
26,2025-05-04,2025-05-04 14:30:00,2025-05-04,14:30,14,Afternoon (12:00-18:00),6,1,high,-14.5
27,2025-01-07,2025-01-06 21:20:00,2025-01-06,21:20,21,Evening (18:00-00:00),0,0,high,2.6666666666666665
28,2025-10-05,2025-10-05 23:00:00,2025-10-05,23:00,23,Evening (18:00-00:00),6,1,high,-23.0
29,2025-06-04,2025-06-04 07:30:00,2025-06-04,07:30,7,Morning (06:00-12:00),2,0,high,-7.5
30,2025-09-17,2025-09-17 23:30:00,2025-09-17,23:30,23,Evening (18:00-00:00),2,0,high,-23.5
31,2025-04-18,2025-04-18 13:30:00,2025-04-18,13:30,13,Afternoon (12:00-18:00),4,0,high,-13.5
32,2025-07-07,2025-07-06 18:00:00,2025-07-06,18:00,18,Evening (18:00-00:00),6,1,high,6.0
33,2025-04-17,2025-04-17 09:30:00,2025-04-17,09:30,9,Morning (06:00-12:00),3,0,high,-9.5
34,2025-05-15,2025-05-15 17:45:00,2025-05-15,17:45,17,Afternoon (12:00-18:00),3,0,high,-17.75
35,2025-06-22,2025-06-22 22:00:00,2025-06-22,22:00,22,Evening (18:00-00:00),6,1,high,-22.0
36,2025-09-16,2025-09-16 19:30:00,2025-09-16,19:30,19,Evening (18:00-00:00),1,0,high,-19.5
37,2025-04-01,2025-04-01 09:00:00,2025-04-01,09:00,9,Morning (06:00-12:00),1,0,high,-9.0
38,2025-08-19,2025-08-19 16:00:00,2025-08-19,16:00,16,Afternoon (12:00-18:00),1,0,high,-16.0
39,2025-09-24,2025-09-24 08:00:00,2025-09-24,08:00,8,Morning (06:00-12:00),2,0,high,-8.0
40,2025-01-24,2025-01-23 20:15:00,2025-01-23,20:15,20,Evening (18:00-00:00),3,0,high,3.75
41,2025-02-15,2025-02-15 00:00:00,2025-02-15,00:00,0,Night (00:00-06:00),5,1,high,0.0
42,2025-02-20,2025-02-19 18:00:00,2025-02-19,18:00,18,Evening (18:00-00:00),2,0,high,6.0
43,2025-02-09,2025-02-09 09:45:00,2025-02-09,09:45,9,Morning (06:00-12:00),6,1,high,-9.75
44,2025-07-26,2025-07-26 01:00:00,2025-07-26,01:00,1,Night (00:00-06:00),5,1,high,-1.0
45,2025-07-02,2025-07-01 21:15:00,2025-07-01,21:15,21,Evening (18:00-00:00),1,0,high,2.75
