article_id,url,source_name,source_url,title,subtitle,author_name,publish_date,content,top_image_url,top_image_caption,created_at,tags,categories,is_road_accident,accident_time,accident_date,accident_datetime,time_confidence,accident_is_weekend,publication_delay_hours,time_of_day_category,is_holiday,is_event,is_school_holiday
4093,https://timesofmalta.com/article/motorcyclist-seriously-hurt-st-paul-bay-bypass-crash.1102334,Times of Malta,https://timesofmalta.com,Motorcyclist seriously hurt in St Paul's Bay bypass crash,Residents complained several times about inadequate traffic cones,Times of Malta,11/12/2024,"A motorcyclist was rushed to hospital in a critical condition after he smashed into a stationary garbage skip on the St Paul's Bay bypass on Wednesday afternoon. The incident was reported to the police at around 5pm.  A police spokesperson said the man - a 54-year-old English man from Mellieħa - suffered serious injuries and was rushed to Mater Dei Hospital. According to the police, the man lost control of his Honda and crashed into a stationary skip on the bypass.",https://cdn-attachments.timesofmalta.com/633f6d85df56bcfdaf6d952c009d88c71ffd7e05-1733946621-1daffdf5-1920x1280.jpg,Photo: Malta Police Force,2025-07-03 15:13:50.605708+00,"{Accident,National,""St Paul’S Bay"",Traffic}",{},1,5pm,11/12/2024,11/12/2024 17:00,High,0,0,Afternoon (12:00-18:00),no,no,no
4110,https://timesofmalta.com/article/skip-involved-horror-st-paul-bay-bypass-crash-did-permit.1102359,Times of Malta,https://timesofmalta.com,Skip involved in horror St Paul’s Bay bypass crash 'did not have permit',Motorcyclist hurt in crash on Wednesday evening remains in hospital,Emma Borg,12/12/2024,"A private contractor who placed a skip on St Paul's Bay bypass that was involved in a serious road accident on Wednesday did not have a permit, local authorities say.  The mayor of St Paul’s Bay, Infrastructure Malta, and Transport Malta all said they did not grant permission for the unnamed contractor to place a skip on the road on Wednesday.  A 54-year-old motorcyclist was seriously injured when he crashed into the stationary garbage skip left on a blind bend along the bypass.  Transport Malta said it ""was not informed about the works, and the contractor did not hold a valid permit to carry out works at the site where the accident occurred.""  Similarly, Infrastructure Malta said it ""had not been notified about the works, and no permission was requested for them."" However, it acknowledged that the accident occurred near works being carried out by a private contractor under its administration. It did not name the contractor involved. In October, Infrastructure Malta began work to replace a dangerous leaning wall along the same bypass section where the accident happened. St Paul’s Bay Mayor, Censu Galea, also confirmed that the council had not issued any permits. ""No permits were ever issued as far as I am informed,"" he said. He said he was told the skip was placed on the road at around 1pm on Wednesday. The incident was reported to the police at around 5pm.  The mayor noted that the same skip had been in the same location two to three months ago, and people raised safety concerns with the council at the time. He explained that once he was informed, the council alerted Infrastructure Malta, which added cones and bollards at that time. The skip involved in Wednesday’s accident was left at the final curve leading to the Xemxija roundabout. According to the police, the injured motorcyclist, an English man from Mellieħa, lost control of his Honda and collided with the skip. He remains in Mater Dei Hospital with serious injuries. While traffic cones and a bollard were at the site, an eyewitness and social media users described these safety features as insufficient.",https://cdn-attachments.timesofmalta.com/fc23e6cdcb523b1c27cbfdd8873507d73772b22d-1734004631-07528d1f-1920x1280.jpg,A 54-year-old man was seriously injured when his bike collided with the skip. Photo: Malta Police Force,2025-07-03 15:13:54.812813+00,"{Accident,National,""St Paul’S Bay""}",{},1,1pm,11/12/2024,11/12/2024 13:00,High,0,11,Afternoon (12:00-18:00),no,no,no
4066,https://timesofmalta.com/article/two-people-including-teen-girl-critically-hurt-two-crashes.1102455,Times of Malta,https://timesofmalta.com,"Two people, including teenage girl, critically hurt in two separate crashes",Incidents in Mellieħa and Gudja on Friday evening leave two victims seriously injured,Times of Malta,14/12/2024,"A 29-year-old man and 17-year-old girl were critically injured in two separate traffic accidents on Friday, the police said in two statements. The first incident occurred in Mellieħa at around 5.30pm, when the 17-year-old was hit by a Jeep Grand Cherokee on Triq il-Marfa. The Jeep, driven by a 52-year-old Żejtun man, smashed into a parked Honda Civic as a result of the incident. The teenage victim was given first aid on site and rushed to Mater Dei Hospital by ambulance to be treated for her serious injuries. Two hours later, police were busy responding to another serious incident in Gudja. A man was fixing a punctured tyre on a Ford Fiesta that stopped on Dawret il-Gudja at around 7.45pm when he was hit by a Skoda Fabia driven by a 50-year-old Gudja resident. The victim, a 29-year-old from Birżebbuġa, ended up squashed between the two vehicles and was seriously injured as a result. He was given first aid and taken to Mater Dei Hospital by ambulance, where he is receiving treatment. Magistrate Ian Farrugia is leading two separate inquiries into the two traffic incidents. Police have also launched their own investigations into the incidents.",https://cdn-attachments.timesofmalta.com/f1761936aadd853064b03014dcfb3df2eb2ea20d-1734163197-1cb9c8df-1920x1280.jpeg,The Ford Fiesta involved in the Gudja collision. Photo: Malta Police CMRU,2025-07-03 15:13:43.83839+00,"{Accident,Gudja,Mellieħa,National,Traffic}",{},1,5.30pm,13/12/2024,13/12/2024 17:30,High,0,6.5,Afternoon (12:00-18:00),yes,no,no
4067,https://timesofmalta.com/article/tributes-anger-flow-motorcyclist-killed-slamming-skip.1102468,Times of Malta,https://timesofmalta.com,"Tributes, anger flow for motorcyclist killed after slamming into a skip",Bike ride being organised in his memory,Emma Borg,14/12/2024,"Dieter Vink was a true gentleman, said friends of the 54-year-old British motorcyclist, who died on Friday night, two days after crashing into a skip placed on a curve of the bypass leading to Xemxija. Friends and acquaintances have remembered Vink as a warm and principled man who left an indelible mark on their lives but there is palpable anger over whether the tragedy could have been prevented.  Fleur Marie Cilia Buckett, who had been friends with Vink for 17 years, described the victim as ""an amazing man"" who stood by her in her darkest hours. In return, she stayed by his side in the hours following his tragic crash. “He was a man full of morals, good Yorkshire stock, and an animal lover to his core,” she said. Buckett recalled how they met on the social platform Hi5, where Vink adopted his beloved cats, Xemx and Bomba, who are now in need of a new home. Buckett expressed her devastation upon learning of his accident from a Times of Malta online report. “My heart stopped, and I howled in disbelief. He was so careful - that could have easily been any of us.” Determined to honour her friend’s memory, Buckett is organising a bike ride in his name on December 28, starting at Mater Dei Hospital and ending at Xemxija Pitstop, where donations will be collected to help pay for his cremation and lawyers' fees. They will also set up a GoFundMe page for the above.  “I can assure you I will fight tooth and nail till justice is served,” she added.  Dorian Sid Turner, a fellow motorcyclist and a friend of Vink for 10 years, echoed these sentiments. “The world lost a true gentleman,” he said, reminiscing about how Vink, a freelance hairdresser, would cut his and his son’s hair. “He was such a good listener. Even if I was having a bad day, somehow he could make me smile,” Turner added. Speaking on behalf of the biking community, he vowed that Vink’s death would not be in vain. “We will not rest until justice is served,” Turner said. Vink, who lived in Malta since the 1990s, originally hailed from Yorkshire, England. After training as a hairdresser, he later became a customer service specialist. For the past five years, he was a familiar face at the Xemxija Pitstop, where owner Vickie Cutajar described him as “a true gentleman” and “a very good client.” “Dieter was warm and friendly,” Cutajar said, adding that customers recognised him immediately from news reporting the accident because of his motorcycle. She shared how Vink would often stop by on his way to work for his usual Americano and toast, a routine the staff will deeply miss. The police confirmed that Vink was riding his Honda motorcycle on Wednesday evening when he collided with the skip. Although emergency responders took him to Mater Dei Hospital, he succumbed to his injuries on Friday. Transport Malta, Infrastructure Malta, and the St Paul’s Bay local council have denied issuing any permit for the skip to be placed in the busy thoroughfare. The skip is believed to have been placed by a contractor working on a boundary wall. St Paul’s Bay mayor Censu Galea said that residents had previously raised safety concerns about the skip, which had been placed at the same location months earlier.",https://cdn-attachments.timesofmalta.com/d7d95259da8154497e2e91360135bd2d0f133d17-1734181299-d2b16487-1920x1280.jpeg,Cilia Buckett and Vink Photo: Cilia Buckett's Facebook,2025-07-03 15:13:44.081826+00,"{Accident,Motoring,National,""St Paul’S Bay""}",{},1,,11/12/2024,11/12/2024 0:00,Medium,0,72,Night (00:00-06:00),no,no,no
4087,https://timesofmalta.com/article/man-crashed-skip-st-paul-bay-bypass-dies-hospital.1102458,Times of Malta,https://timesofmalta.com,Man who crashed into skip on St Paul's Bay bypass dies in hospital,54-year-old British national Dieter Vink succumbs to injuries,Times of Malta,14/12/2024,"Updated 12pm with victim's name A motorcyclist who smashed into a skip on the St Paul's Bay bypass this week has died, the police have said.  Dieter Vink, 54, was riding a Honda motorcycle on Wednesday evening when he crashed into a skip placed on the bypass' final curve leading to the Xemxija roundabout. Police and emergency responders rushed to the scene and took him to Mater Dei Hospital for treatment. On Saturday morning, the police issued a statement to inform the public that he had died while there. Vink was a British national who lived in Mellieħa. A hairdresser by training, he switched careers some years back and worked as a customer service specialist.    Transport Malta, Infrastructure Malta and the St Paul's Bay local council have all said they had not issued a permit to allow the skip to be parked on the busy thoroughfare on the day of the crash.   The skip is believed to have been placed there by a contractor carrying out works on a boundary wall in the area.  St Paul's Bay mayor Censu Galea said the skip had also been placed on the road a few months back, and that residents nearby had complained at the time about it being a danger.",https://cdn-attachments.timesofmalta.com/9d9d35cbb2e18bd4d19018768f9ddbd41a0aaa58-1734174454-7179a93f-1920x1280.jpg,Dieter Vink (inset) died after crashing into a skip authorities say should not have been placed there. Photos: Malta Police CMRU/Facebook,2025-07-03 15:13:49.04234+00,"{Accident,National,""St Paul’S Bay"",Traffic}",{},1,,11/12/2024,11/12/2024 0:00,Medium,0,72,Night (00:00-06:00),no,no,no
4049,https://timesofmalta.com/article/motorcyclist-seriously-injured-xewkija-crash.1102517,Times of Malta,https://timesofmalta.com,Motorcyclist seriously injured in Xewkija crash,Accident reported at 8.30pm on Triq l-Imġarr,Times of Malta,16/12/2024,"A motorcyclist was seriously injured on Sunday night in a crash on Triq l-Imġarr, Xewkija. The police said in a statement the accident was reported at 8.30pm and involved a Toyota Tercel driven by an 86-year-old woman from Xewkija and a Benelli bike driven by a 45-year-old from Sannat. The motorcyclist was rushed to the Gozo General Hospital where he was certified to have suffered serious injuries. Police investigations and a magisterial inquiry are ongoing.",https://cdn-attachments.timesofmalta.com/d731adbab0f580408d8c1e13ffe131e9f826058e-1734340606-ee960c2c-1920x1280.jpg,File photo: Times of Malta,2025-07-03 15:13:39.40956+00,"{Accident,Gozo,Health,National,Xewkija}",{},1,8.30pm,15/12/2024,15/12/2024 20:30,High,1,3.5,Evening (18:00-00:00),no,no,no
4034,https://timesofmalta.com/article/police-officer-seriously-injured-crash-relatives-urge-blood-donations.1102521,Times of Malta,https://timesofmalta.com,"Police officer seriously injured in crash, relatives urge blood donations",Chris Bonello was fixing a punctured tyre when he was hit by a car,Sarah Carabott,16/12/2024,"Relatives and friends of a police officer who was injured in a tragic accident on Friday are urging people to donate blood as his condition remains serious. Chris Bonello, 29, was fixing a punctured tyre on a Ford Fiesta that stopped on Dawret il-Gudja at around 7.45pm on Friday when he was hit by a Skoda Fabia. He was seriously injured and rushed to Mater Dei Hospital, where he remains on Monday.  Bonello was off-duty during the accident. Close friends confirmed with Times of Malta he was still undergoing serious operations and was being treated in intensive care. His condition remains serious but stable. Several urged social media users to keep the man in their prayers, while others urged people to donate blood. Over the weekend, the Guardamangia Blood Bank said reserves - mainly O positive and A positive - remained low and operations could be cancelled as a result. Concert cancelled Bonello is also a band member of the Società Filarmonica Maria Mater Gratiæ Żabbar, with whom he played the tuba. In solidarity with the victim, the band club has cancelled its Christmas concert, planned for December 18.  The band club too is urging people to donate blood and asked anyone interested to join its members in a blood drive to call 7923 3928.  Among those who took to social media, Żabbar Autofest wished Bonello - one of its founding members - a ""speedy recovery"". ""Our thoughts and prayers are with Chris and his family during this difficult time. Stay strong, Chris, We are all with you."" One of his aunts described the ordeal as a ""time of great pain"". Those who wish to give blood and have any queries should phone 8007 4313 to check if they are eligible. Donors should take their identity card, driving licence or Maltese passport with them. To keep updated, look up National Blood Transfusion Service – Malta on Facebook.",https://cdn-attachments.timesofmalta.com/8528312d9115c6460f9a6b64b76087ea3cf7f277-1734353018-0ad307d9-1920x1280.png,Chris Bonello was injured on Friday in a tragic accident. Relatives and friends are urging people to donate blood. Photos: Facebook/Canva,2025-07-03 15:13:35.635996+00,"{Accident,Health,National,Police}",{},1,7.45pm,16/12/2024,16/12/2024 19:45,High,0,0,Evening (18:00-00:00),no,no,no
4007,https://timesofmalta.com/article/tm-suspends-permits-contractor-responsible-skip-involved-fatal-crash.1102549,Times of Malta,https://timesofmalta.com,TM suspends permits of contractor responsible for skip involved in fatal crash,Contractor 'illegally' resumed works without informing the agency,Times of Malta,16/12/2024,"Transport Malta has suspended future permits for the contractor responsible for a skip left on the St Paul’s Bay bypass that was hit by a motorcyclist in a fatal accident last week. In a statement on Monday evening, TM said it had “suspended any future permits for this contractor until all safety standards are assured,” while confirming the contractor had “illegally” resumed works last week without a valid permit or informing the agency. “These works had been stopped for months, and any resumption without proper authorisation is entirely the responsibility of the contractor,” it said. Dieter Vink, 54, was riding a Honda motorcycle on Wednesday evening when he smashed into the stationery garbage skip placed on the bypass' final curve leading to the Xemxija roundabout. The collision left Vink in a critical condition and he was taken to Mater Dei Hospital for treatment, there succumbing to his injuries on Friday night. Footage of the incident generated an outpouring of grief and anger, with many calling for accountability over what they claimed as negligence on the part of the contractor. Times of Malta has been informed by multiple sources that the contractor in question is JV Infrastructure. Repeated attempts to contact the company were unsuccessful. Vink’s family have said they “want justice, and we will not let him pass in vain,” and have demanded accountability for the events that led to the popular hairdresser’s death. Speaking to Times of Malta less than 24 hours after his death, the family said Vink had suffered catastrophic brain trauma in the accident, with other injuries including a broken right arm, several fractured ribs, a punctured liver and spleen, two black eyes and cuts and bruises all over his body. Fleur Marie Cilia Buckett said the crash helmet the motorcyclist was wearing at the time of the crash looked like “corn flakes,” while stressing Vink was a careful rider. “That could have easily been any of us,” she said. The skip left on the road earlier that day is believed to have been placed there while JV Infrastructure was carrying out works on a boundary wall in the area.  St Paul's Bay mayor Censu Galea said the skip had also been placed on the road a few months before the fatal incident and that residents nearby had complained at the time about it being a danger.",https://cdn-attachments.timesofmalta.com/14b06c93664c15c2ae383b82ff0f1fd0840fd472-1734379281-f5c3e7f6-1920x1280.jpg,"The skip, seen here in the upper part of the photo, was left on a curve on the bypass. Photo: Malta Police Force.",2025-07-03 15:13:29.189831+00,"{Government,National,Traffic,Transport}",{},1,,16/12/2024,16/12/2024 0:00,Medium,0,0,Night (00:00-06:00),no,no,no
4024,https://timesofmalta.com/article/i-m-tired-going-friends-funerals-motorcycle-advocacy-group-president.1102545,Times of Malta,https://timesofmalta.com,‘I’m tired of going to friends’ funerals’: bikers' anger after skip crash death,Foundation president says riding in Malta has become more dangerous,Matthew Bonanno,17/12/2024,"The president of a motorcycle advocacy group has expressed his anger at the perceived negligence of the authorities, which he says led to the death of a biker last week. Dieter Vink, 54, died last Friday, two days after crashing his motorcycle into a skip positioned on the final curve of the St Paul’s Bay bypass before the Xemxija roundabout.  “I’m sick of going to funerals. It feels like our lives are cheap,” Galea said, mentioning the deaths of Johanna Boni, after being hit by a truck in 2015, and Marie Claire Lombardi, who lost control of her bike after it skidded on olives spilled onto the road in 2022. Speaking about the experience of riding a motorcycle more generally, Galea said it had become more dangerous to drive on Malta’s roads over the past four or five years. “I think it’s because drivers are frustrated by the ever-increasing traffic, which in turn leads them to drive in an impatient and careless manner. Right now, the situation feels like it’s beyond repair,” he said. Aldo Overend, a committee member of the NGO, echoed Galea’s sentiments.  “We just hope this accident will lead to action because we can’t go on like this,"" he said. ""While riding, I feel like I constantly have to dodge heavy vehicles, construction materials, fresh concrete and water leaking from bowsers, as well as reckless car drivers not taking us into account."" Official data shows almost 40 per cent of all road traffic casualties involve motorcyclists.  Vink’s family and friends have vowed to get justice for his death and are seeking legal advice. A GoFundMe page has been set up to raise funds to cover funeral and legal expenses, along with a fundraising bike ride planned for December 28, starting at Mater Dei Hospital and ending at Vink’s second home, The Pitstop in Xemxija.",https://cdn-attachments.timesofmalta.com/8631579747f763429366baba4e9136dd24ab0494-1734433065-b7643960-1920x1280.png,"Victims of motorcycle crashes in recent years, from left, Johanna Boni, Dieter Vink and Marie Claire Lombardi. Photos: Times of Malta/Facebook",2025-07-03 15:13:33.296013+00,"{Accident,Motoring,National,Traffic}",{},1,,17/12/2024,17/12/2024 0:00,Medium,0,0,Night (00:00-06:00),no,no,no
4014,https://timesofmalta.com/article/two-minivans-crash-one-overturns-siggiewi-collision.1102584,Times of Malta,https://timesofmalta.com,"Two passenger vans crash, one overturns in Siġġiewi collision","Police say four people were hospitalised, but Transport Malta said no one was injured",Times of Malta,17/12/2024,"Updated 6 pm  Two passenger vans crashed in the limit of Siġġiewi on Tuesday afternoon, causing one of them to overturn.  The incident was initially reported by Transport Malta, who in a statement said that the incident involved a minivan carrying school children and that no injuries were reported.  However, when contacted the police said that since the incident was reported at 2.15 pm four people had been taken to Mater Dei Hospital.  Later on Tuesday police were able to confirm that the collision had occurred between a Mercedes Sprinter and a Renault Master on Triq Mons Mikiel Azzopardi.  The Mercedes Sprinter, a school van, was being driven by a 52-year-old man from Għargħur, remained upright and neither the driver nor the passengers were injured.  The Renault Master was being driven by a 46-year-old man from San Ġwann and overturned as a result of the crash.  Four passengers in the van, three women aged 44, 48 and 63 from Siġġiewi and a 43-year-old woman from Rabat were injured and taken to Mater Dei Hospital.  Their condition had not been established at time of writing.  The road has since been reopened to traffic.",https://cdn-attachments.timesofmalta.com/4ecee32c6e7541e20a0d9a5ae347a376eb512052-1734446884-85c34fa1-1920x1280.png,Authorities were supervising the removal of the vehicles later on Tuesday. Photo: Chris Sant Fournier,2025-07-03 15:13:30.845498+00,"{Accident,National,Police,Siġġiewi}",{},1,,17/12/2024,17/12/2024 0:00,Medium,0,0,Night (00:00-06:00),no,no,no
