article_id,og_title,og_content,og_date_published,og_created_at,accident_datetime,is_applicable_accident,street,city,number_injured,accident_severity,vehicle_type,driver_age,driver_gender
4208,Driver stuck in traffic says speeding LESA car shattered his mirror,"A motorist claims his car mirror was shattered by a speeding LESA vehicle that failed to stop after hitting his car while he was stuck in traffic. Frank Xerri De Caro, 78, was driving his Toyota Yaris home after a meeting on Wednesday around 5pm when the accident occurred on the Regional Road, near the St Julian’s tunnels. Heavy traffic had brought vehicles to a near standstill, leaving little room for manoeuvring. As he approached the tunnels next to St Clare’s Convent, Xerri De Caro said he noticed what he then believed to be a police car with sirens blaring in the distance. Attempting to give way, he moved his car closer to the side of the road. “I could tell the car was coming quite close to me but I couldn’t move anymore as I didn’t have more space to,” he explained. Moments later, he said a speeding LESA vehicle struck his right-hand side mirror, shattering it into pieces on the ground. Xerri De Caro described feeling both shocked and frustrated, notably when the car continued without stopping to assess the situation. “I was shocked at that moment but more so frustrated afterwards,” he said, explaining that he had to spend €300 to repair the damage. Xerri De Caro, who shared his experience on social media, initially said his mirror was destroyed by a police car. After filing a police report and speaking with the police on Thursday morning, he noticed he made a mistake and said that it had been a LESA car that hit his mirror.  He took to social media once again to praise the police for their efficient work and thanked them for their assistance.  LESA responded to the matter in question by saying, ""LESA has received no communication regarding this matter from the injured party prior to this media question."" They continued, "" LESA invites the injured party to provide all relevant information so that the necessary checks can be made, in accordance with the usual procedure.""",07/12/2024,2025-07-03 15:14:21.554132+00,04/12/2024 17:00,TRUE,Regional Road,St Julian's,0,not injured,Car,78,M
4208,Driver stuck in traffic says speeding LESA car shattered his mirror,"A motorist claims his car mirror was shattered by a speeding LESA vehicle that failed to stop after hitting his car while he was stuck in traffic. Frank Xerri De Caro, 78, was driving his Toyota Yaris home after a meeting on Wednesday around 5pm when the accident occurred on the Regional Road, near the St Julian’s tunnels. Heavy traffic had brought vehicles to a near standstill, leaving little room for manoeuvring. As he approached the tunnels next to St Clare’s Convent, Xerri De Caro said he noticed what he then believed to be a police car with sirens blaring in the distance. Attempting to give way, he moved his car closer to the side of the road. “I could tell the car was coming quite close to me but I couldn’t move anymore as I didn’t have more space to,” he explained. Moments later, he said a speeding LESA vehicle struck his right-hand side mirror, shattering it into pieces on the ground. Xerri De Caro described feeling both shocked and frustrated, notably when the car continued without stopping to assess the situation. “I was shocked at that moment but more so frustrated afterwards,” he said, explaining that he had to spend €300 to repair the damage. Xerri De Caro, who shared his experience on social media, initially said his mirror was destroyed by a police car. After filing a police report and speaking with the police on Thursday morning, he noticed he made a mistake and said that it had been a LESA car that hit his mirror.  He took to social media once again to praise the police for their efficient work and thanked them for their assistance.  LESA responded to the matter in question by saying, ""LESA has received no communication regarding this matter from the injured party prior to this media question."" They continued, "" LESA invites the injured party to provide all relevant information so that the necessary checks can be made, in accordance with the usual procedure.""",07/12/2024,2025-07-03 15:14:21.554132+00,04/12/2024 17:00,TRUE,Regional Road,St Julian's,0,not injured,Car,Unknown,Unknown
4167,PN slams government for diverting EU bus funds to electric private cars,"The PN on Monday slammed the government for diverting EU funds that were meant to be used to electrify Malta’s public transport to fund subsidies for electric private cars. By encouraging the use of private cars, the government would make the traffic situation on the island even worse, three party spokespeople told a press conference at the Marsa park-and-ride on Monday. Last week, the PN revealed that the government had ""secretly"" withdrawn plans to receive over €40 million in EU funding to spend on updating Malta’s bus fleet. As a result, the private company that runs the public transport system said its plans to electrify Malta’s bus fleet “cannot go ahead”. In reply to questions by Times of Malta, Prime Minister Robert Abela confirmed the funds that were going to be used for the project will instead go to people to electrify their private cars. But for the PN, switching diesel-powered buses to electric ones would have been a crucial initiative to reduce emissions and combat climate change. ""Since these buses operate throughout the day on our roads, they should be the first priority in the electrification of Malta's vehicle fleet. ""Instead, Robert Abela made the meaningless decision to withdraw the allocation of these funds, leaving diesel buses on the roads while redirecting funds to more private cars, worsening traffic. This comes after the government reduced the grant for private electric cars in the recent budget from €11,000 to €8,000."" Spokespeople Mark Anthony Sammut, Ryan Callus, and Eve Borg Bonello told the media on Monday that the decision to withdraw from the €34 million agreement with the European Commission would also result in the loss of €7 million in EU funds for charging stations and another €50 million in private investment for cleaner air. ""This reckless decision by Abela confirms his lack of direction and how quality is discarded with every decision he makes. ""If he really needed to cut funds, Abela should have reduced wasteful spending on core government insiders and the corruption that has engulfed his administration,"" they said, adding that quality of life depended on clean air. They added that due to PL's incompetence, people's health will continue to suffer from the exhaust fumes of diesel-powered buses passing past pedestrians. ""The PN is the only solution for the Maltese people. We promise electrified mass transport that will not only reduce emissions on our roads but also provide an efficient and adequate service. ""Above all, we promise accountability and seriousness in public spending and in the use of European funds in the interest of the common good, not just for the privileged few."" PL reacts Reacting to the PN's press conference, the PL said in a statement the Opposition's true colours were revealed on Monday morning. ""Under a Nationalist government, the thousands of grants given for a person to switch from traditional fuel to electrification of a vehicle will no longer be given,"" the PL claimed. The party said that a Labour government will, on the other hand, continue providing incentives to those who opt for an electric vehicle. The incentives will not just apply to the purchase of a car but also when it comes to the registration and circulation tax relief from the road licence. ""Strong initiatives for those who make the choice to go for a private vehicle, with the least possible environmental damage."" That is the difference between austerity measures and incentivising people.",09/12/2024,2025-07-03 15:14:10.643172+00,09/12/2024 0:00,FALSE,,,,,,,
4093,Motorcyclist seriously hurt in St Paul's Bay bypass crash,"A motorcyclist was rushed to hospital in a critical condition after he smashed into a stationary garbage skip on the St Paul's Bay bypass on Wednesday afternoon. The incident was reported to the police at around 5pm.  A police spokesperson said the man - a 54-year-old English man from Mellieħa - suffered serious injuries and was rushed to Mater Dei Hospital. According to the police, the man lost control of his Honda and crashed into a stationary skip on the bypass.",11/12/2024,2025-07-03 15:13:50.605708+00,11/12/2024 17:00,TRUE,St Paul's Bay bypass,St Paul's Bay,1,Serious,Motorbike,54,M
4110,Skip involved in horror St Paul’s Bay bypass crash 'did not have permit',"A private contractor who placed a skip on St Paul's Bay bypass that was involved in a serious road accident on Wednesday did not have a permit, local authorities say.  The mayor of St Paul’s Bay, Infrastructure Malta, and Transport Malta all said they did not grant permission for the unnamed contractor to place a skip on the road on Wednesday.  A 54-year-old motorcyclist was seriously injured when he crashed into the stationary garbage skip left on a blind bend along the bypass.  Transport Malta said it ""was not informed about the works, and the contractor did not hold a valid permit to carry out works at the site where the accident occurred.""  Similarly, Infrastructure Malta said it ""had not been notified about the works, and no permission was requested for them."" However, it acknowledged that the accident occurred near works being carried out by a private contractor under its administration. It did not name the contractor involved. In October, Infrastructure Malta began work to replace a dangerous leaning wall along the same bypass section where the accident happened. St Paul’s Bay Mayor, Censu Galea, also confirmed that the council had not issued any permits. ""No permits were ever issued as far as I am informed,"" he said. He said he was told the skip was placed on the road at around 1pm on Wednesday. The incident was reported to the police at around 5pm.  The mayor noted that the same skip had been in the same location two to three months ago, and people raised safety concerns with the council at the time. He explained that once he was informed, the council alerted Infrastructure Malta, which added cones and bollards at that time. The skip involved in Wednesday’s accident was left at the final curve leading to the Xemxija roundabout. According to the police, the injured motorcyclist, an English man from Mellieħa, lost control of his Honda and collided with the skip. He remains in Mater Dei Hospital with serious injuries. While traffic cones and a bollard were at the site, an eyewitness and social media users described these safety features as insufficient.",12/12/2024,2025-07-03 15:13:54.812813+00,11/12/2024 17:00,TRUE,St Paul’s Bay bypass,St Paul's Bay,1,Serious,Motorbike,54,M
4066,"Two people, including teenage girl, critically hurt in two separate crashes","A 29-year-old man and 17-year-old girl were critically injured in two separate traffic accidents on Friday, the police said in two statements. The first incident occurred in Mellieħa at around 5.30pm, when the 17-year-old was hit by a Jeep Grand Cherokee on Triq il-Marfa. The Jeep, driven by a 52-year-old Żejtun man, smashed into a parked Honda Civic as a result of the incident. The teenage victim was given first aid on site and rushed to Mater Dei Hospital by ambulance to be treated for her serious injuries. Two hours later, police were busy responding to another serious incident in Gudja. A man was fixing a punctured tyre on a Ford Fiesta that stopped on Dawret il-Gudja at around 7.45pm when he was hit by a Skoda Fabia driven by a 50-year-old Gudja resident. The victim, a 29-year-old from Birżebbuġa, ended up squashed between the two vehicles and was seriously injured as a result. He was given first aid and taken to Mater Dei Hospital by ambulance, where he is receiving treatment. Magistrate Ian Farrugia is leading two separate inquiries into the two traffic incidents. Police have also launched their own investigations into the incidents.",14/12/2024,2025-07-03 15:13:43.83839+00,13/12/2024 17:30,TRUE,Triq il-Marfa,Mellieħa,0,not injured,Car,52,M
4066,"Two people, including teenage girl, critically hurt in two separate crashes","A 29-year-old man and 17-year-old girl were critically injured in two separate traffic accidents on Friday, the police said in two statements. The first incident occurred in Mellieħa at around 5.30pm, when the 17-year-old was hit by a Jeep Grand Cherokee on Triq il-Marfa. The Jeep, driven by a 52-year-old Żejtun man, smashed into a parked Honda Civic as a result of the incident. The teenage victim was given first aid on site and rushed to Mater Dei Hospital by ambulance to be treated for her serious injuries. Two hours later, police were busy responding to another serious incident in Gudja. A man was fixing a punctured tyre on a Ford Fiesta that stopped on Dawret il-Gudja at around 7.45pm when he was hit by a Skoda Fabia driven by a 50-year-old Gudja resident. The victim, a 29-year-old from Birżebbuġa, ended up squashed between the two vehicles and was seriously injured as a result. He was given first aid and taken to Mater Dei Hospital by ambulance, where he is receiving treatment. Magistrate Ian Farrugia is leading two separate inquiries into the two traffic incidents. Police have also launched their own investigations into the incidents.",14/12/2024,2025-07-03 15:13:43.83839+00,13/12/2024 17:30,TRUE,Triq il-Marfa,Mellieħa,1,Serious,Pedestrian,17,F
4066.5,"Two people, including teenage girl, critically hurt in two separate crashes","A 29-year-old man and 17-year-old girl were critically injured in two separate traffic accidents on Friday, the police said in two statements. The first incident occurred in Mellieħa at around 5.30pm, when the 17-year-old was hit by a Jeep Grand Cherokee on Triq il-Marfa. The Jeep, driven by a 52-year-old Żejtun man, smashed into a parked Honda Civic as a result of the incident. The teenage victim was given first aid on site and rushed to Mater Dei Hospital by ambulance to be treated for her serious injuries. Two hours later, police were busy responding to another serious incident in Gudja. A man was fixing a punctured tyre on a Ford Fiesta that stopped on Dawret il-Gudja at around 7.45pm when he was hit by a Skoda Fabia driven by a 50-year-old Gudja resident. The victim, a 29-year-old from Birżebbuġa, ended up squashed between the two vehicles and was seriously injured as a result. He was given first aid and taken to Mater Dei Hospital by ambulance, where he is receiving treatment. Magistrate Ian Farrugia is leading two separate inquiries into the two traffic incidents. Police have also launched their own investigations into the incidents.",14/12/2024,2025-07-03 15:13:43.83839+00,13/12/2024 19:45,TRUE,Dawret il-Gudja,Gudja,1,Serious,Pedestrian,29,M
4066.5,"Two people, including teenage girl, critically hurt in two separate crashes","A 29-year-old man and 17-year-old girl were critically injured in two separate traffic accidents on Friday, the police said in two statements. The first incident occurred in Mellieħa at around 5.30pm, when the 17-year-old was hit by a Jeep Grand Cherokee on Triq il-Marfa. The Jeep, driven by a 52-year-old Żejtun man, smashed into a parked Honda Civic as a result of the incident. The teenage victim was given first aid on site and rushed to Mater Dei Hospital by ambulance to be treated for her serious injuries. Two hours later, police were busy responding to another serious incident in Gudja. A man was fixing a punctured tyre on a Ford Fiesta that stopped on Dawret il-Gudja at around 7.45pm when he was hit by a Skoda Fabia driven by a 50-year-old Gudja resident. The victim, a 29-year-old from Birżebbuġa, ended up squashed between the two vehicles and was seriously injured as a result. He was given first aid and taken to Mater Dei Hospital by ambulance, where he is receiving treatment. Magistrate Ian Farrugia is leading two separate inquiries into the two traffic incidents. Police have also launched their own investigations into the incidents.",14/12/2024,2025-07-03 15:13:43.83839+00,13/12/2024 19:45,TRUE,Dawret il-Gudja,Gudja,0,not injured,Car,50,Unknown
4067,"Tributes, anger flow for motorcyclist killed after slamming into a skip","Dieter Vink was a true gentleman, said friends of the 54-year-old British motorcyclist, who died on Friday night, two days after crashing into a skip placed on a curve of the bypass leading to Xemxija. Friends and acquaintances have remembered Vink as a warm and principled man who left an indelible mark on their lives but there is palpable anger over whether the tragedy could have been prevented.  Fleur Marie Cilia Buckett, who had been friends with Vink for 17 years, described the victim as ""an amazing man"" who stood by her in her darkest hours. In return, she stayed by his side in the hours following his tragic crash. “He was a man full of morals, good Yorkshire stock, and an animal lover to his core,” she said. Buckett recalled how they met on the social platform Hi5, where Vink adopted his beloved cats, Xemx and Bomba, who are now in need of a new home. Buckett expressed her devastation upon learning of his accident from a Times of Malta online report. “My heart stopped, and I howled in disbelief. He was so careful - that could have easily been any of us.” Determined to honour her friend’s memory, Buckett is organising a bike ride in his name on December 28, starting at Mater Dei Hospital and ending at Xemxija Pitstop, where donations will be collected to help pay for his cremation and lawyers' fees. They will also set up a GoFundMe page for the above.  “I can assure you I will fight tooth and nail till justice is served,” she added.  Dorian Sid Turner, a fellow motorcyclist and a friend of Vink for 10 years, echoed these sentiments. “The world lost a true gentleman,” he said, reminiscing about how Vink, a freelance hairdresser, would cut his and his son’s hair. “He was such a good listener. Even if I was having a bad day, somehow he could make me smile,” Turner added. Speaking on behalf of the biking community, he vowed that Vink’s death would not be in vain. “We will not rest until justice is served,” Turner said. Vink, who lived in Malta since the 1990s, originally hailed from Yorkshire, England. After training as a hairdresser, he later became a customer service specialist. For the past five years, he was a familiar face at the Xemxija Pitstop, where owner Vickie Cutajar described him as “a true gentleman” and “a very good client.” “Dieter was warm and friendly,” Cutajar said, adding that customers recognised him immediately from news reporting the accident because of his motorcycle. She shared how Vink would often stop by on his way to work for his usual Americano and toast, a routine the staff will deeply miss. The police confirmed that Vink was riding his Honda motorcycle on Wednesday evening when he collided with the skip. Although emergency responders took him to Mater Dei Hospital, he succumbed to his injuries on Friday. Transport Malta, Infrastructure Malta, and the St Paul’s Bay local council have denied issuing any permit for the skip to be placed in the busy thoroughfare. The skip is believed to have been placed by a contractor working on a boundary wall. St Paul’s Bay mayor Censu Galea said that residents had previously raised safety concerns about the skip, which had been placed at the same location months earlier.",14/12/2024,2025-07-03 15:13:44.081826+00,11/12/2024 17:00,TRUE,St Paul’s Bay bypass,St Paul's Bay,1,Fatal,Motorbike,54,M
