release_id,og_title,og_content,og_date_published,og_date_modified,accident_datetime,is_applicable_accident,street,city,number_injured,accident_severity,vehicle_type,driver_age,driver_gender
1,Collision between a car and a motorbike in Żurrieq,"Today, at around 0930hrs, the Police were informed of a traffic accident on Triq il-Belt Valletta, Żurrieq.The Police immediately went to the scene and from a preliminary investigation it resulted that a collision had occurred between a Toyota Aqua driven by a 67-year-old woman resident of Żurrieq and a Piaggio Beverly motorbike driven by a 61-year-old man from Mqabba.A medical team was called to the scene and an ambulance took the motorbike driver to Mater Dei Hospital, where he was certified to be seriously injured.Magistrate Dr Monica Borg Galea LL.D was informed and appointed an inquiry while Police investigations are still ongoing.",2025-10-09,2025-10-09,09/10/2025 09:30,TRUE,Triq il-Belt Valletta,Żurrieq,0,not injured,Car,67,F
1,Collision between a car and a motorbike in Żurrieq,"Today, at around 0930hrs, the Police were informed of a traffic accident on Triq il-Belt Valletta, Żurrieq.The Police immediately went to the scene and from a preliminary investigation it resulted that a collision had occurred between a Toyota Aqua driven by a 67-year-old woman resident of Żurrieq and a Piaggio Beverly motorbike driven by a 61-year-old man from Mqabba.A medical team was called to the scene and an ambulance took the motorbike driver to Mater Dei Hospital, where he was certified to be seriously injured.Magistrate Dr Monica Borg Galea LL.D was informed and appointed an inquiry while Police investigations are still ongoing.",2025-10-09,2025-10-09,09/10/2025 09:30,TRUE,Triq il-Belt Valletta,Żurrieq,1,Serious,Motorbike,61,M
2,Car-motorcycle traffic accident,"Yesterday, at around 1830hrs, the Police were informed of a traffic accident in Triq Dawret il-Gudja, Gudja.Preliminary investigations showed that a collision occurred between a Honda fit that was being driven by a 64-year-old man from Santa Luċija and a Kawasaki Ninja motorcycle that was being driven by a 23-year-old man from Gudja.A medical team was called on site and an ambulance took the motorcyclist to Mater Dei Hospital. He was later certified to have sustained grievous injuries.Police investigations are ongoing.",2025-06-20,2025-06-20,19/06/2025 18:30,TRUE,Triq Dawret il-Gudja,Gudja,0,not injured,Car,64,M
2,Car-motorcycle traffic accident,"Yesterday, at around 1830hrs, the Police were informed of a traffic accident in Triq Dawret il-Gudja, Gudja.Preliminary investigations showed that a collision occurred between a Honda fit that was being driven by a 64-year-old man from Santa Luċija and a Kawasaki Ninja motorcycle that was being driven by a 23-year-old man from Gudja.A medical team was called on site and an ambulance took the motorcyclist to Mater Dei Hospital. He was later certified to have sustained grievous injuries.Police investigations are ongoing.",2025-06-20,2025-06-20,19/06/2025 18:30,TRUE,Triq Dawret il-Gudja,Gudja,1,Grievious,Motorbike,23,M
3,Car-motorcycle collision in Ħal Qormi,"Today, at around 0800hrs, the Police were informed of a traffic accident in Valley Road, Qormi.Preliminary investigations showed that a collision occurred between a Ford Transit driven by a 34-year-old man residing in Żebbuġ and a Honda motorcycle driven by a 29-year-old man who lives in Qormi.A medical team was called on site and an ambulance took the motorcyclist to Mater Dei Hospital. He was later certified to have sustained grievous injuries.Police investigations are ongoing.",2025-05-12,2025-05-12,12/05/2025 08:00,TRUE,Valley Road,Qormi,0,not injured,Van,34,M
3,Car-motorcycle collision in Ħal Qormi,"Today, at around 0800hrs, the Police were informed of a traffic accident in Valley Road, Qormi.Preliminary investigations showed that a collision occurred between a Ford Transit driven by a 34-year-old man residing in Żebbuġ and a Honda motorcycle driven by a 29-year-old man who lives in Qormi.A medical team was called on site and an ambulance took the motorcyclist to Mater Dei Hospital. He was later certified to have sustained grievous injuries.Police investigations are ongoing.",2025-05-12,2025-05-12,12/05/2025 08:00,TRUE,Valley Road,Qormi,1,Grievious,Motorbike,29,M
4,Collision between motorcycle and car in Għaxaq,"Yesterday, at around 1800hrs, the Police were informed of a traffic accident in Triq Dawret Ħal Għaxaq, Għaxaq.Preliminary investigations by the Police found that there was a collision between a Volvo XC60 that was being driven by a 42-year-old man from Għaxaq and a Malaguti Madison motorcycle that was being driven by a 29-year-old Brazilian man from Zurrieq.A medical team was called on site and an ambulance took the motorcyclist to Mater Dei Hospital for treatment where he was later certified to have sustained grievous injuries.Police investigations are ongoing.",2025-07-30,2025-07-30,29/07/2025 18:00,TRUE,Triq Dawret Ħal Għaxaq,Għaxaq,0,not injured,Car,42,M
4,Collision between motorcycle and car in Għaxaq,"Yesterday, at around 1800hrs, the Police were informed of a traffic accident in Triq Dawret Ħal Għaxaq, Għaxaq.Preliminary investigations by the Police found that there was a collision between a Volvo XC60 that was being driven by a 42-year-old man from Għaxaq and a Malaguti Madison motorcycle that was being driven by a 29-year-old Brazilian man from Zurrieq.A medical team was called on site and an ambulance took the motorcyclist to Mater Dei Hospital for treatment where he was later certified to have sustained grievous injuries.Police investigations are ongoing.",2025-07-30,2025-07-30,29/07/2025 18:00,TRUE,Triq Dawret Ħal Għaxaq,Għaxaq,1,Grievious,Motorbike,29,M
5,Car-motorcycle collision,"Yesterday, at around quarter to nine in the evening (2045hrs), the Police were informed of a traffic accident in Triq il-Buqana, Rabat.Preliminary investigations showed that a collision occurred between a Kia Avella driven by a 25-year-old man from Santa Luċija and a Kymco Agility motorcycle driven by a 41-year-old man from Birkirkara.A medical team was called on site and an ambulance took the motorcyclist to Mater Dei Hospital. He was later certified to have sustained grievous injuries.Police investigations are ongoing.",2025-04-07,2025-04-07,06/04/2025 20:45,TRUE,Triq il-Buqana,Rabat,0,not injured,Car,25,M
5,Car-motorcycle collision,"Yesterday, at around quarter to nine in the evening (2045hrs), the Police were informed of a traffic accident in Triq il-Buqana, Rabat.Preliminary investigations showed that a collision occurred between a Kia Avella driven by a 25-year-old man from Santa Luċija and a Kymco Agility motorcycle driven by a 41-year-old man from Birkirkara.A medical team was called on site and an ambulance took the motorcyclist to Mater Dei Hospital. He was later certified to have sustained grievous injuries.Police investigations are ongoing.",2025-04-07,2025-04-07,06/04/2025 20:45,TRUE,Triq il-Buqana,Rabat,1,Grievious,Motorbike,41,M
6,Traffic accident in Marsa,"Yesterday, at around ten minutes to nine in the morning (0850 hrs), the Police were informed of a traffic accident in Triq Aldo Moro, Marsa.Preliminary investigations by the District Police found that a collision occurred between a Yamaha motorcycle driven by a 36-year-old man from Cospicua, an Isuzu Elf van driven by a 52-year-old man from Fgura and a Hyundai Kona driven by a 53-year-old man from Żabbar.A medical team was called on site to assist and an ambulance took the motorcyclist to Mater Dei Hospital for treatment. He was later certified to have sustained grievous injuries.Police investigations in connection with this incident are ongoing.",2025-04-16,2025-04-16,15/04/2025 08:50,TRUE,Triq Aldo Moro,Marsa,1,Grievious,Motorbike,36,M
6,Traffic accident in Marsa,"Yesterday, at around ten minutes to nine in the morning (0850 hrs), the Police were informed of a traffic accident in Triq Aldo Moro, Marsa.Preliminary investigations by the District Police found that a collision occurred between a Yamaha motorcycle driven by a 36-year-old man from Cospicua, an Isuzu Elf van driven by a 52-year-old man from Fgura and a Hyundai Kona driven by a 53-year-old man from Żabbar.A medical team was called on site to assist and an ambulance took the motorcyclist to Mater Dei Hospital for treatment. He was later certified to have sustained grievous injuries.Police investigations in connection with this incident are ongoing.",2025-04-16,2025-04-16,15/04/2025 08:50,TRUE,Triq Aldo Moro,Marsa,0,not injured,Van,52,M
