id,street,city,accident_datetime_x,street_latitude,street_longitude,latitude,longitude,accident_datetime_y,future_dt_used,duration_sec,static_duration_sec,traffic_ratio,traffic_level
article_496362.0,triq l-imgarr,ghajnsielem,2025-10-10 09:00:00,36.02573,14.29241,36.02573,14.29241,2025-10-10 09:00:00,2026-01-09 09:00:00+01:00,106.0,106.0,1.0,LOW
article_496274.0,triq sant anna,floriana,2025-10-09 13:00:00,35.8928626,14.5072523,35.8928626,14.5072523,2025-10-09 13:00:00,2026-01-08 13:00:00+01:00,411.0,358.0,1.1480446927374302,LOW
article_496202.0,triq il-belt valletta,zurrieq,2025-10-09 09:30:00,35.8350408,14.4748324,35.8350408,14.4748324,2025-10-09 09:30:00,2026-01-08 09:30:00+01:00,80.0,78.0,1.0256410256410255,LOW
article_496206.0,paola roundabout,paola,2025-10-09 00:00:00,,,,,,,,,,
release_52,triq il-kappella ta xaghra,naxxar,2025-10-06 09:30:00,35.91592,14.44063,35.91592,14.44063,2025-10-06 09:30:00,2026-01-05 09:30:00+01:00,346.0,363.0,0.953168044077135,LOW
article_496006.0,saqqajja hill roundabout,rabat,2025-10-05 00:00:00,35.88498,14.39863,35.88498,14.39863,2025-10-05 00:00:00,2026-01-04 00:00:00+01:00,146.0,145.0,1.006896551724138,LOW
release_28,triq dawret il-gudja,gudja,2025-10-04 23:00:00,35.84692,14.49538,35.84692,14.49538,2025-10-04 23:00:00,2026-01-03 23:00:00+01:00,296.0,332.0,0.891566265060241,LOW
release_93,triq ta lawrenti,siggiewi,2025-10-04 14:30:00,35.83388,14.43712,35.83388,14.43712,2025-10-04 14:30:00,2026-01-03 14:30:00+01:00,322.0,321.0,1.0031152647975077,LOW
release_94,triq sant andrija,st julians,2025-10-04 08:45:00,35.9234324,14.4824207,35.9234324,14.4824207,2025-10-04 08:45:00,2026-01-10 08:45:00+01:00,300.0,324.0,0.9259259259259259,LOW
release_87,triq l-imgarr,qala,2025-10-02 05:30:00,36.02573,14.29241,36.02573,14.29241,2025-10-02 05:30:00,2026-01-08 05:30:00+01:00,100.0,106.0,0.9433962264150944,LOW
article_495442.0,mriehel bypass,hal qormi,2025-10-02 00:00:00,35.8881938,14.4639337,35.8881938,14.4639337,2025-10-02 00:00:00,2026-01-08 00:00:00+01:00,259.0,339.0,0.7640117994100295,LOW
release_92,triq ghar dalam,birzebbuga,2025-09-28 10:00:00,35.8417603,14.5279126,35.8417603,14.5279126,2025-09-28 10:00:00,2026-01-04 10:00:00+01:00,208.0,173.0,1.2023121387283238,MODERATE
article_494910.0,triq sant antnin,marsascala,2025-09-25 18:00:00,35.862551,14.5587173,35.862551,14.5587173,2025-09-25 18:00:00,2026-01-08 18:00:00+01:00,205.0,162.0,1.2654320987654322,MODERATE
release_66,republic street,victoria,2025-09-25 14:15:00,36.0442596,14.2429687,36.0442596,14.2429687,2025-09-25 14:15:00,2026-01-08 14:15:00+01:00,186.0,155.0,1.2,MODERATE
release_39,triq marsalforn,zebbug,2025-09-24 08:00:00,36.0613833,14.2551875,36.0613833,14.2551875,2025-09-24 08:00:00,2026-01-07 08:00:00+01:00,164.0,155.0,1.0580645161290323,LOW
article_494571.0,bella vista street,san gwann,2025-09-22 19:00:00,35.907253,14.4720292,35.907253,14.4720292,2025-09-22 19:00:00,2026-01-05 19:00:00+01:00,178.0,149.0,1.1946308724832215,LOW
article_494438.0,sa maison,pieta',2025-09-21 08:30:00,35.90041,14.49378,35.90041,14.49378,2025-09-21 08:30:00,2026-01-04 08:30:00+01:00,218.0,279.0,0.7813620071684588,LOW
release_82,triq l-gharb,gharb,2025-09-20 13:30:00,36.0527615,14.2205279,36.0527615,14.2205279,2025-09-20 13:30:00,2026-01-03 13:30:00+01:00,144.0,140.0,1.0285714285714285,LOW
article_494209.0,triq san gwann t'ghuxa,bormla,2025-09-18 20:45:00,35.8777552,14.5191598,35.8777552,14.5191598,2025-09-18 20:45:00,2026-01-08 20:45:00+01:00,183.0,179.0,1.0223463687150838,LOW
release_30,triq il-mina ta hompesch,haz-zabbar,2025-09-16 23:30:00,35.8719308,14.5295125,35.8719308,14.5295125,2025-09-16 23:30:00,2026-01-06 23:30:00+01:00,173.0,218.0,0.7935779816513762,LOW
release_36,triq san pawl,st pauls bay,2025-09-16 19:30:00,35.9467503,14.3916683,35.9467503,14.3916683,2025-09-16 19:30:00,2026-01-06 19:30:00+01:00,117.0,117.0,1.0,LOW
article_493898.0,republic street,victoria,2025-09-16 12:15:00,36.0442596,14.2429687,36.0442596,14.2429687,2025-09-16 12:15:00,2026-01-06 12:15:00+01:00,193.0,155.0,1.2451612903225806,MODERATE
article_493702.0,triq bajada,zabbar,2025-09-14 13:30:00,35.8732767,14.5337517,35.8732767,14.5337517,2025-09-14 13:30:00,2026-01-04 13:30:00+01:00,206.0,230.0,0.8956521739130435,LOW
article_493670.0,st pauls roundabout,san pawl,2025-09-13 23:00:00,35.95061,14.41462,35.95061,14.41462,2025-09-13 23:00:00,2026-01-03 23:00:00+01:00,261.0,301.0,0.867109634551495,LOW
release_20,triq il-perit dom mintoff,paola,2025-09-13 21:00:00,35.87596,14.51231,35.87596,14.51231,2025-09-13 21:00:00,2026-01-03 21:00:00+01:00,155.0,161.0,0.9627329192546584,LOW
