id,title,content,date_published,accident_datetime,street,city,A_accident_severity,A_driver_age,A_driver_gender,A_number_injured,A_vehicle_type,B_accident_severity,B_driver_age,B_driver_gender,B_number_injured,B_vehicle_type,C_accident_severity,C_driver_age,C_driver_gender,C_number_injured,C_vehicle_type,D_accident_severity,D_driver_age,D_driver_gender,D_number_injured,D_vehicle_type,accident_date_id,accident_severity,total_injured,delete_flag,C_city,C_street,duplicate_of_id
article_496362.0,GÄ§ajnsielem mayor urges traffic safety measures after latest road accident,"The Mayor of GÄ§ajnsielem on Friday called on the authorities to install speed cameras and traffic calming measures along Triq l-ImÄ¡arr after a four-vehicle collision left two people in hospital. One person suffered grievous injuries while another sustained light injuries in the accident, the latest in a string of â€œserious accidentsâ€ along that stretch of road which led mayor Kevin Cauchi to make his heartfelt appeal to the authorities. The accident, which happened around 9am, involved a Mitsubishi L200 driven by a 35-year old man from XagÄ§ra and a Suzuki GSXR driven by a 43-year old man from Nadur. A 19-year old man also from Nadur was riding pillion. A Toyota Corolla driven by a 67-year old man from Qala and an Alfa Romeo driven by a 55-year old man from Munxar were also damaged in the collision. A medical team was called on site and an ambulance took the 43-year old man and the 19-year old youth to the Gozo General Hospital for treatment. Magistrate Brigitte Sultana appointed an inquiry as police investigations continued.  Writing in a social media post following the accident, GÄ§ajnsielem mayor Kevin Cauchi expressed his frustration at the lack of inaction following the latest accident on this stretch of road. â€œAnother serious accident took place this morning on Triq l-ImÄ¡arr. The statistics speak for themselves yet still nothing is being done,â€ he said. He pointed out the local council has been appealing with the authority â€œfor yearsâ€ to install speed cameras, plastic bollards and other traffic calming measures along Triq l- ImÄ¡arr and other main roads.",10/10/2025,10/10/2025 09:00,triq l-imgarr,ghajnsielem,Serious,35,M,1,car,Serious,43,M,1,Motorbike,not injured,67,M,0,car,not injured,55,M,0,car,20251010,Serious,2,retain,ghajnsielem,triq l-imgarr,
article_496274.0,"Car catches fire on Floriana main road, causing standstill traffic","A man was driving on the Floriana main road when his car caught fire on Thursday afternoon. Â  A police spokesperson said the driver is uninjured and the firefighters were able to extinguish the blaze soon after they arrived at Triq Sant Anna. Â  Readers in the area said they were caught in standstill traffic as police made their best efforts to direct oncoming vehicles.Â  ""Even a snail was travelling faster than us,"" a frustrated commuter told Times of Malta. Triq Sant Anna connects Valletta to the rest of Malta and is among the island's busier roads.Â  Most of Malta's buses pass through that road.",09/10/2025,09/10/2025 13:00,triq sant anna,floriana,not injured,none,none,0,car,,,,,,,,,,,,,,,,20251009,not injured,0,retain,floriana,triq sant anna,
article_496202.0,Motorcyclist seriously injured in Å»urrieq crash,"A motorcyclist was left with serious injuries after being involved in a traffic collision with a car in Å»urrieq on Thursday morning. Preliminary investigations suggest a collision had occurred between the Piaggio Beverly motorbike driven by the injured party, a 61-year-old man from Mqabba, and a Toyota Aqua driven by a 67-year-old woman from Å»urrieq. The incident occurred on Triq il-Belt Valletta at around 9.30am, police said. The motorcyclist was treated at the scene before being taken to Mater Dei Hospital, where his injuries were certified as serious. Magistrate Monica Borg Galea was informed of the incident and opened an inquiry into the case. Police investigations are still ongoing.",09/10/2025,09/10/2025 09:30,triq il-belt valletta,zurrieq,Serious,61,M,1,Motorbike,Serious,67,F,1,Car,,,,,,,,,,,20251009,Serious,2,retain,zurrieq,triq il-belt valletta,
release_1,Collision between a car and a motorbike in Å»urrieq,"Today, at around 0930hrs, the Police were informed of a traffic accident on Triq il-Belt Valletta, Å»urrieq.The Police immediately went to the scene and from a preliminary investigation it resulted that a collision had occurred between a Toyota Aqua driven by a 67-year-old woman resident of Å»urrieq and a Piaggio Beverly motorbike driven by a 61-year-old man from Mqabba.A medical team was called to the scene and an ambulance took the motorbike driver to Mater Dei Hospital, where he was certified to be seriously injured.Magistrate Dr Monica Borg Galea LL.D was informed and appointed an inquiry while Police investigations are still ongoing.",09/10/2025,09/10/2025 09:30,triq il-belt valletta,zurrieq,not injured,67,F,0,Car,Serious,61,M,1,Motorbike,,,,,,,,,,,20251009,Serious,1,delete,zurrieq,triq il-belt valletta,article_496202.0
article_496206.0,Watch: Traffic accident caught live on air during live Transport Malta interview,"Maltaâ€™s traffic woes were brought home to TV viewers live on air after a minor accident was caught on camera during a roadside TVM interview with a Transport Malta official. The footage shows a silver vehicle crashing into the back of a red car in front as the latter stops at a Paola roundabout, as Transport Maltaâ€™s (TM) deputy head of enforcement Jean Claude Attard is interviewed in the foreground live onÂ TVM. Attard appears startled at the sound of the accident before looking around to the scene of the bumper-to-bumper in the background, while the presenter continues speaking. The accident occurred just moments after the presenter said the pair were â€œhere in the early hours of the morning, when traffic seems to be at its peak â€“ which is normal for the countryâ€.  Reacting to the incident, Attard tells the presenter: â€œAs you can see, these things happen on the go, as behind us, we have a bumper-to-bumper which can take a while to clear the vehicles from the streetâ€. He added that TM officials would â€œplace markers on the ground of where the crash happened to move the cars as fast as possibleâ€ in addition to their duties directing traffic at what he described as â€œone of the busiest junctions in the southâ€. TM officials can be seen attending the scene shortly after the incident occurs. Thursdayâ€™s on-air accident comes as Malta continues to battle perennial congestion and frustration on the roads. On Tuesday, gridlock was particularly bad across the country as Malta registered 23 collisions, 10 vehicle breakdowns and two separate spillages across the island during morning rush hour. Motorists reported spending more than double the usual time on their commutes, and many took to social media to express frustration, complaining about standstill traffic that stretched even onto non-arterial roads. The issue spilt over into parliamentary proceedings later that day when Opposition Leader Alex Borg quipped to Robert Abela that he was delayed because, due to not being escorted like the prime minister, he was stuck in traffic.",09/10/2025,09/10/2025 00:00,paola roundabout,paola,slight,none,none,0,Car,slight,none,none,0,Car,,,,,,,,,,,20251009,,0,retain,paola,paola roundabout,
release_52,Woman grievously injured in a traffic accident,"An 84-year-old woman, a resident of Naxxar, was hospitalised at 0930 hrs after being injured in a traffic accident in Triq il-Kappella Taâ€™ XagÄ§ra, Naxxar.It resulted from initial investigations that the victim was hit by Hyundai Excel, that was being driven by an 84-year-old man from Naxxar.The woman was assisted by a medical team and taken to hospital by ambulance, where she was certified to be suffering from grievous injuries.Police investigations are ongoing.",06/10/2025,06/10/2025 09:30,triq il-kappella ta xaghra,naxxar,not injured,84,M,0,Car,Grievious,84,F,1,Pedestrian,,,,,,,,,,,20251006,Grievious,1,retain,naxxar,triq il-kappella tax-xaghra,
article_496006.0,Motorist admits drink-driving and fleeing the scene of an accident,"A 34-year-old drink-driver who hit a motorcyclist and sped away from the scene was fined â‚¬3,000 and had his driving licence suspended for six months on Tuesday. The accident happened on the roundabout of Saqqajja Hill on Sunday. Mario Mifsud, a chef from Qormi, appeared in court on Tuesday accused of driving in a reckless, negligent or dangerous manner, damaging a motorcycle, injuring the motorcyclist and driving under the influence. He was also accused of leaving the scene of the collision. Police inspector Nathan Bugeja explained that the motorcyclist was waiting at the roundabout when he was hit by the car driven by the accused. The driver stopped and upon seeing the victim on the ground, got back in his car and sped off. He then turned up at Qormi police station half an hour later with his father and brother. He smelt of alcohol but refused to take a breathalyser test after consulting with his lawyer. On Tuesday afternoon, he pleaded guilty to the charges. Magistrate Charmaine Galea, found him guilty by his own admission, fined him â‚¬3,000 and suspended his driving licence for six months. The court also imposed a 12-point penalty on his licence. Police inspector Nathan Bugeja prosecuted while lawyer Roberto Montalto assisted the accused.",07/10/2025,05/10/2025 00:00,saqqajja hill roundabout,rabat,slight,34,M,1,car,slight,none,none,1,Motorbike,,,,,,,,,,,20251005,,2,retain,rabat,saqqajja hill roundabout,
article_495807.0,Passengers injured in unfortunate crash,"A woman and two children were injured late on Saturday when their car was hit by a vehicle which was involved in a crash in the opposite lane. The accident happened on the Gudja Bypass at 11pm. The police explained that the first collision involved a Suzuki Baleno driven by a 49-year-old man from Swieqi and a Hyundai Getz driven by a 19-year-old man from San Ä wann. The Hyundai ended up in the opposite lane where it crashed into a Renault Captur. The Renault was being driven by a 50-year-old man accompanied by two women aged 69 and 43 and a boy and girl, both aged 14, all residents of Rabat. The 43-year-old woman and the children were hospitalised, with the boy suffering a serious injury, police said. The others suffered slight injuries. The police are investigating.",05/10/2025,04/10/2025 23:00,gudja bypass,gudja,Serious,49,M,3,car,Serious,19,M,3,car,Serious,50,M,3,car,,,,,,20251004,Serious,9,delete,gudja,gudja bypass,
release_28,Traffic accident in Gudja,"Late yesterday evening, at around 11:00 p.m. (2300hrs), the Police were informed of a traffic accident in Triq Dawret il-Gudja, Gudja.Police immediately went to the scene, and from preliminary investigations it resulted that a collision had occurred between a Suzuki Baleno driven by a 49-year-old man from Swieqi and a Hyundai Getz driven by a 19-year-old from San Ä wann. Followwing the intial impact, the Hyundai veered into the opposite lane and collided with a Renault Captur.The Renault was driven by a 50-year-old man. Also inside the vehicle were two women aged 69 and 43, as well as a 14-year-old girl and a 14-year-old boy, all residents of Rabat.A medical team was called to the scene, and an ambulance took the 43-year-old woman together with the two children to Mater Dei Hospital. Later, the 14-year-old boy was certified to have suffered grievous injuries, while the girl and the 43-year-old woman suffered slight injuries.Police investigations into this accident are still ongoing.",05/10/2025,04/10/2025 23:00,triq dawret il-gudja,gudja,not injured,49,M,0,Car,not injured,19,unknown,0,Car,Grievious,50,M,2,Car,,,,,,20251004,Grievious,2,retain,gudja,triq dawret il-gudja,
release_93,Traffic accident in SiÄ¡Ä¡iewi,"Yesterday, at around 2:30 p.m. (1430hrs), the Police were informed of a traffic accident in Triq Taâ€™ Lawrenti, SiÄ¡Ä¡iewi.Police immediately went to the scene, and from preliminary investigations it resulted that a collision had occurred between a Smart Fortwo driven by a 34-year-old woman from MellieÄ§a and a Volvo XC40 driven by a 38-year-old man from Qrendi.A medical team was called to the site, and the woman was taken to Mater Dei Hospital by ambulance. Later, she was certified as having sustained grevious injuries.Police investigations are still ongoing.",05/10/2025,04/10/2025 14:30,triq ta lawrenti,siggiewi,Grievious,34,F,1,Car,not injured,38,M,0,Car,,,,,,,,,,,20251004,Grievious,1,retain,siggiewi,triq ta lawrenti,
