id,title,content,date_published,accident_datetime,street,city,A_accident_severity,A_driver_age,A_driver_gender,A_number_injured,A_vehicle_type,B_accident_severity,B_driver_age,B_driver_gender,B_number_injured,B_vehicle_type,C_accident_severity,C_driver_age,C_driver_gender,C_number_injured,C_vehicle_type,D_accident_severity,D_driver_age,D_driver_gender,D_number_injured,D_vehicle_type,accident_date_id
article_3834.0,"Driver paid for damages he was never accused of causing, court hears","A driver who was conditionally discharged over a collision that took place 18 years ago, paid for damages to the other driver’s vehicle when he was never charged with causing such damages but only for injuries suffered by that driver’s passenger. Emanuel Gatt was targeted by criminal charges following the accident which took place in Triq il-Mithna, Qormi on December 17, 2006 when he was involved in a collision which resulted in grievous injuries to a woman in the other car. Gatt was subsequently prosecuted for careless and dangerous driving, driving under the influence of alcohol or drugs, having an alcohol level beyond the legal limits as well as causing grievous injuries to the woman. The proceedings dragged on until earlier this year, when the case was assigned to a new magistrate. Eighteen years down the line, Gatt registered an admission to three of the charges, including that related to the injuries involuntarily caused to the victim. When examining the evidence to determine whether Gatt was guilty of the other charges the court, presided over by Magistrate Donatella Frendo Dimech, observed that the only witness who testified in the proceedings was a medical doctor who confirmed that the victim fractured a left-hand finger. She also suffered neck and shoulder injuries. The injuries were classified as grievous because of the fracture Despite the fact that the doctor was the only witness, the proceedings dragged on for 17 years. A court minute dated March 28, 2008 indicated that the driver of the other car had claimed damages to the tune of €1700. That amount included court expenses. But what was most concerning was the fact that his name was not even mentioned in that court minute. Much less so did he testify, observed the magistrate when delivering judgment. Nor was there any receipt or a single scrap of documentary evidence to support his claim for damages. Yet, while the case dragged on, the accused made €300 payments to someone named Etienne Bugeja. He appeared to be a relative of the victim and was driving the car at the time of the crash. That fact was understood through the police current incident report which, however, was never confirmed on oath. The magistrate was “most astonished” by the fact that the court, as previously presided, had permitted such payments for damages allegedly caused to Bugeja’s car when the accused was never charged with causing damage to third party property but only for injuring the passenger. And although he claimed damages totalling €1700, Bugeja was never even formally identified in the court records. In light of such evidence and the circumstances of the case, the court cleared Gatt of the other charges whilst conditionally discharging him for 40 months over those charges he pleaded guilty to. When meting out punishment, the court took into consideration Gatt’s criminal record and the fact that the case had “inexplicably” dragged on for 17 years. The court also imposed a three-month driving ban.",2024-12-30,2006-12-17 00:00:00,triq il-mithna,qormi,Grievious,Unknown,Unknown,1,Car,not injured,Unknown,M,0,Car,,,,,,,,,,,20061217
article_2101.0,Driver jailed for four years for killing passenger in 2017 car crash,"A 48-year-old man has been jailed for four years for causing the death of a passenger in his car during a collision in August 2017. St Paul’s Bay resident Godfrey Gambin was charged with the involuntary homicide of Jane Mary Turner, 45. He was also accused of causing involuntary bodily harm on another driver, causing damages to the other car and violating traffic rules. Police sergeant Denise Camilleri told the court that she was stationed at Mosta Police Station on August 20 2017 when she got the call about a collision on Triq Sir Temi Zammit in Mġarr. The sergeant went on site and found Gambin’s car had overturned, the driver was standing outside and had blood over him. Turner, who was inside Gambin’s car, died on site. The other vehicle was on the pavement in the opposite direction. Gambin was hospitalised and was in intensive care for some time. The other driver told the court that he was going to Għadira and was driving towards Mġarr when he saw an oncoming car coming in the opposite direction in his lane. He had no time to avoid the collision and Gambin crashed his vehicle into the man’s car.  The vehicle spun twice before ending up on the pavement. The windscreen shattered. The driver recalled that when he got out of his car, he found Gambin’s car overturned and the female passenger dead on site. The court, presided over by magistrate Caroline Farrugia Frendo, found Gambin guilty and jailed him for four years. He was fined €11,600 and his driving licence was suspended for three months as from 2 April 2025. Gambin was also ordered to pay €2,975.91 in court expenses. Inspector Godwin Scerri prosecuted.",2025-04-01,2017-08-20 15:25:00,triq sir temi zammit,mgarr,Unknown,26,M,1,car,Fatal,41,M,2,car,,,,,,,,,,,20170820
article_353524.0,Elderly man acquitted of traffic fatality as victim is blamed,"A man has been acquitted of causing the death of a pedestrian in Paola in 2018 after finding that the victim caused the incident through negligence and the motorist could do nothing about it. The accident happened at Triq Wied Bladun on May 13, 2018. George Glanville, now 83, from Fgura was accused of having caused the death of his friend, William Cocker. The court heard that on that day, Glanville was driving his Kia Rio on a clear road. The traffic light was green. Behind him a man rode a motorcycle accompanied by a passenger. Cocker suddenly emerged from behind a wall and attempted to cross the road straight in front of Glanville’s car. Glanville told the police he was driving at 40-50 km/hr and stopped the vehicle immediately the accident happened. He got out of his car and spoke to Cocker who was still responsive. He only left the scene after the police allowed him to. Glanville told the police that he was sorry for what had happened, since Cocker was his friend and he had known him for a long time. He also kept visiting Cocker in hospital every two days until his death on May 31.   The motorcyclist who had been following Glanville testified that Cocker just crossed the road suddenly. Glanville hit the pedestrian and stopped the car immediately. The man recalled assisting the driver and the victim, who were two elderly men and knew each other. Another eyewitness said that the pedestrian was crossing on the pedestrian crossing when the lights were green for vehicles. Superintendent Hubert Cini testified that Cocker’s injuries were certified as grievous; however, he was not seen at risk of dying at the time. A post-mortem investigation determined, however, that Cocker’s death was a result of the incident. In their submissions on punishment, the prosecution said the charges were issued after the post-mortem examination showed that the victim’s death was caused by the incident. It also argued that while the pedestrian crossed when the lights were green for vehicles, the driver failed to keep a proper lookout. The defence countered that the victim crossed the road without proper look-out when he should not have even crossed. The driver had no time to react. The court referred to the eyewitnesses who testified how Cocker just crossed the road without waiting for the red lights for vehicles. From their testimony, it emerged that the accused could not reasonably have avoided the incident. The court said that it was convinced that the accused was driving responsibly. The evidence showed that the victim had been negligent in this case and that it led to the unfortunate incident. “For this reason, one cannot say that the accused did not keep a proper look out since the victim’s action was unpredictable and there was nothing that the accused could have done to avoid the incident,” Magistrate Nadine Sant Lia observed. The court ruled that the incident was caused by Cocker’s imprudence, which created an unpredictable emergency that made it impossible and unreasonable for the accused to take timely action and avoid the incident. Glanville was acquitted of having caused Cocker’s death through negligent driving. Magistrate Nadine Sant Lia presided over the case. Superintendent Hubert Cini prosecuted.",2025-07-23,2018-03-13 00:00:00,triq wied bladun,paola,Fatal,83,M,0,Car,Fatal,none,M,1,Pedestrian,,,,,,,,,,,20180313
article_1352.0,"Motorcyclist injured in pothole incident awarded €74,000","A 39-year-old Turkish national has been awarded over €74,000 in damages following an accident in Siġġiewi which left him suffering from a permanent disability. The man was driving his Piaggio Vespa along Triq Għar Lapsi on May 2, 2020, when he stumbled into a pothole, lost his balance and fell off the motorcycle. He was taken to Mater Dei Hospital where he was certified with grievous injuries. Following the incident, the man returned to Turkey since he needed treatment, and the coronavirus pandemic had hit. He also underwent several surgical interventions. As a result of the incident, he sustained permanent disability, which harmed his quality of life. The man eventually returned to Malta. Through his lawyers, he filed an application before the First Hall of the Civil Court, suing the Siġġiewi Local Council and Infrastructure Malta. He requested the court to hold both responsible for the incident and order them to pay him damages. Both Infrastructure Malta and the Siġġiewi local council argued that they were not suited, with the road agency arguing that the council was responsible for maintaining the road, while the local council argued that it was in the hands of the agency. In court, the man testified that as he was driving along Triq Għar Lapsi, direction towards Dingli cliffs, a few meters after he turned the corner, the condition of the road changed dramatically. Who is responsible for the road? He described how the road level went down by a few metres before he drove into a pothole. Moreover, there were no signs that the road surface would deteriorate, and the man said he had no reason to believe that the road surface would change in such a manner. John Fenech from Elles Urban Services Ltd – a company engaged by the council to maintain the roads – acknowledged that the road was in a state of disrepair and it had to be resurfaced. He also testified that the damage to the road was primarily attributable to the frequent passage of heavy vehicles in the service of nearby quarries. He added that the road was not built to take the weight of the vehicles. A police constable similarly testified that the road was in a bad state, noting that there were several cracks in the asphalt and potholes. In establishing who was responsible for the road, the court heard architect David Vassallo from Infrastructure Malta. The witness said the road fell under the responsibility of the local council, however, the road agency intervened and issued an emergency allocation to contractor Philip Agius and Sons for €1.5 million, excluding VAT, in December 2020. The council’s executive secretary, Ritianne Giorgino, told the court that while it was within the council’s boundary, the local council is responsible for maintenance or patching works, while resurfacing falls under the responsibility of the local government. Referring to the mayor’s affidavit, the court observed that while it was outlined that the council has several structures to monitor and ascertain that roads are kept in a good state of repair, this was not the case and notwithstanding the “layers of surveillance adopted by the Council, somewhere down the line, somebody is not doing his job properly or else the technical operandi is not functioning."" The court reminded how the road is used by heavy vehicles and therefore, the road should have been monitored more closely and frequently. It also observed that it was only after the plaintiff was injured that the road was properly repaired. The court concluded that the council was wholly to blame for the accident.  When it came to calculating damages, it took into consideration that 21 months after the accident, the man’s radial nerve did not make a full recovery, and this was most likely improbable. It also took into consideration the court-appointed expert’s observations on the fracture of the distal tibia, which involved an articular surface of the ankle joint and will inevitably lead to arthritic change. The motorcyclist also ended up with substantial amounts of metal implants attached to the humerus and tibia. These foreign bodies provide a slightly increased risk of bone infection during bacetermia, according to the expert. After calculating the damages, the court declared the Siġġiewi local council responsible for the incident and ordered it to pay the man €74,873. Mr Justice Toni Abela presided over the court. Lawyers Kris Busietta and Alessandro Farrugia assisted the plaintiff.",2025-05-09,2020-05-02 08:00:00,triq ghar lapsi,siggiewi,Serious,39,M,1,Motorbike,,,,,,,,,,,,,,,,20200502
article_490632.0,‘Why do we have to beg for justice?’,"The brother of a food courier killed in a freak accident more than three years ago is appealing for justice as the magisterial inquiry is still ongoing. In February 2022, 28-year-old Nepali delivery driver Ajay Shrestha died when a truck overturned on Marsa’s Aldo Moro Road. The vehicle ploughed into a lamppost before spilling its load of scrap metal onto oncoming traffic, fatally crushing Shrestha. Shrestha, known to friends as ‘AJ’, had moved to Malta from Nepal in 2018 in search of work. Just a week before the accident, he had celebrated his 28th birthday. “It has been three years now since my brother’s death, and nothing has happened. Nobody has contacted me,” Ajay’s older brother, Anil, told Times of Malta.  Anil recalled how his sibling always had a smile on his face and, during his time in Malta, made a lot of friends. “He was very passionate about sport, he played cricket back at home and loved to play music. He was never angry with anyone and was just a very good person.” He said the two were always together from childhood until the fatal accident changed that. “All my family wants is justice for Ajay. We understand that it was an accident, but we deserve and need this justice and to know that someone is looking into my brother’s case.”",2025-08-17,2022-02-01 00:00:00,aldo moro road,marsa,Fatal,28,M,1,Motorbike,Fatal,none,none,0,van,,,,,,,,,,,20220201
article_3861.0,Mother calls for stricter penalties after son’s road death,"The mother of a 21-year-old man who died in a traffic accident two years ago believes the courts are too lenient in suspending the licences of drivers responsible for serious or fatal collisions. Fiona Laferla’s son, Ben, was a passenger in a rental car driven by his friend, Maxime Asacha Muehlematter, when it crashed into a wall on Triq il-Madliena in Swieqi. Last month, Muehlematter received a suspended jail sentence and a one-year driving ban after admitting to involuntarily causing Ben’s death on September 24, 2022. Maltese traffic regulations stipulate a minimum driving ban of six months to a year, with courts having discretion over the final length based on the specific circumstances.  Lingering questions In court, it emerged that the front seatbelts were elongated but those at the back were stiff, indicating Ben and Flo had not been wearing them. After the crash, first aiders found Ben outside the car. A passer-by pulled him out to try to help. Max’s 17-year-old girlfriend initially claimed she was driving. She later admitted she lied, thinking her age would protect her from charges. She received a conditional discharge. A bottle of rum and another bottle of alcohol was found in the car, leading to public assumptions about the group’s behaviour. Fiona derides the “callous comments” and clarifies that Ben had had the bottle of rum for weeks. Fiona remains unconvinced about the reported speed of 35km/hr, noting that Ben’s injuries seemed too severe. “You know how many times my sister and I tried taking a sudden break at that speed to try to understand? I know that stupid things happen. In this case, there was a wall. But there are still questions.” The mother says the car safety element was never explored during the court case. “There is always a fault – but there are other things to consider that go beyond the driver: is the car properly maintained? Is the road too dark?” Fiona was hoping the court case would give her the answers. It did not, and she found it painful when a defence lawyer attempted to discredit Ben and Flo, even though they were sitting at the back. In the end, following a change of lawyer, Max admitted to causing Ben’s death. The prosecution withdrew charges relating to reckless and negligent driving as well as driving under the influence, because there was no material evidence that could lead to a conviction. “I wasn’t hoping Max goes to prison because I wasn’t out for vengeance. I don’t want to persecute the boy. Ben loved him. He was his friend. That was meant to be down the road and coming back. You don’t think it’s going to happen to you… Just because Ben is not here doesn’t mean Max cannot have a life.” And now, Fiona says, her mission is to keep Ben’s memory alive. One way of doing it by promoting a ‘Ben Lafesta’ charity event, among other events in the pipeline. “That keeps me going,” she says.",2024-12-29,2022-09-24 00:00:00,triq il-madliena,swieqi,Fatal,22,M,1,Car,,,,,,,,,,,,,,,,20220924
article_3653.0,Mother of road death victim calls out mistakes that lead to dropped court cases,"The mother of a 21-year-old man who died in a car crash has called out prosecution mistakes that lead to criminal court cases being dropped.  Fiona Laferla, whose son Ben died when the car his friend was driving crashed into a wall in Swieqi, said on Saturday that the indifference and callousness that family members of the deceased face in the justice system is another unnecessary wound in what is already a very difficult situation.  Speaking during Andrew Azzopardi’s radio show on RTK 103, Laferala said she cannot understand how those who make mistakes - like writing the wrong date, address or detail down at the scenes of crimes or crashes - don’t face any consequences for their actions.  “God forbid I made mistakes of this calibre while teaching, you would never hear the end of it,” she said.  “But isn’t it bad enough that you’ve lost a loved one, a husband or a child, and on a technicality you lose your chance to get closure as well?”  Laferla also criticised policymakers for not acting on what are clear shortcomings in the system. I worry that eventually, everyone becomes immune to these deaths until it impacts them,” she said.  “The worst thing that can strike you is indifference, and that is why I don’t understand the policymakers.”  She was also critical of the cold approach relatives are faced with when finding themselves in the court system.  “I saw this indifference first-hand in court with the first lawyer that (the driver of the car) had,” she continued.  “I’m a generally calm person but there was one occasion where I wanted to throw something at him. He tried to ridicule me, tried to paint Ben and his girlfriend in the worst light possible and was bringing up things that had nothing to do with the case at all.” Last year Maxime Asacha Muehlematter, the 22-year-old who was driving the car that Ben died in, admitted to causing his death and was handed a suspended sentence and a one-year driving ban. Muehlematter was cleared of drink-driving charges as prosecutors had no evidence to prove that charge. Initially another passenger in the car, a girl who was 17 at the time, told police she was the one driving the car.  The girl later admitted she had lied and that Muehlematter was the driver. She was given a conditional discharge.    Laferla told Times of Malta last year that while she was not out for revenge and did not want to see the young man go to prison, she felt that he should have received a longer driving ban, if barring him from driving forever was not a possibility.  Bringing this point up again on Saturday, she said that these are the issues policymakers should be addressing, particularly as road deaths are not isolated incidents and continue to claim people’s lives senselessly year after year.  “I knew that it was going to be a slap on the wrist because I had seen what happened in other cases,” she said.  “We were lucky that he admitted and the process was not long and drawn out. But when you’ve already lost your son that’s not saying much. Don’t the people on top see these things?” she questioned.",2025-01-11,2022-09-24 00:00:00,triq il-madliena,swieqi,Fatal,22,M,1,car,,,,,,,,,,,,,,,,20220924
article_167578.0,"Motorist fined €4,000 after grievously injuring woman using pelican crossing","A motorist has been fined €4,000 after being found guilty of grievously injuring a pedestrian after he crashed into a car waiting at a pelican crossing, sending it smashing into a woman crossing the road. St Paul’s Bay resident Jithu James, 32, was accused of driving a vehicle in a dangerous, negligent and reckless manner and grievously injuring a pedestrian in an incident that occurred in October 2023. A motorist who was on his way home from work at the time of incident, explained he had been waiting for pedestrians to cross a pelican crossing on December 13 Road when he saw a vehicle being driven at an “abnormal” speed. The speeding vehicle crashed into the witness’ car, which in turn hit a pedestrian using the crossing. The witness exited his vehicle, called the emergency services and went to assist a woman who was lying on the ground. In his testimony, he recalled that she was not in a “good” state. Under cross-examination he confirmed he had stopped but not pulled up his handbrake. He also confirmed he had not been charged in connection with the incident. Another witness, who had been using the crossing at the time of the incident, explained he had been crossing the road with his dog, with a woman walking next to him. Two cars had been waiting for pedestrians to finish using the crossing, he recalled, when a third car crashed into one of the stationary cars. He added that his dog lost a tooth in the crash. The man remained with the woman until the ambulance came. The court in its considerations held that James failed to maintain a proper lookout while driving, especially when approaching a pedestrian crossing. The man was fined €4,000 and had 10 points knocked off his licence. He was disqualified from holding a driving licence for three months. Magistrate Yana Micallef Stafrace presided.",2025-07-15,2023-10-01 00:00:00,december 13 road,st paul's bay,Grievious,32,M,0,Car,Grievious,none,M,0,Car,Grievious,none,F,1,Pedestrian,,,,,,20231001
article_3220.0,Danish father is finally told driver will be charged over son’s death,"The driver who hit and killed a tourist in St Julian’s more than a year ago will be charged in court, just weeks after the Danish father spoke out publicly about authorities failing to update him about the case. Asger Emil Neidhardt, a 25-year-old IT entrepreneur, died on October 28, 2023, after he was hit by a Honda Accord driven by a 44-year-old man at the entrance of the Regional Road tunnels. His father, Lars Neidhardt, contacted Times of Malta three weeks ago to express his frustration after his requests for information about the fatal accident went ignored by the Maltese authorities. He described how he was stonewalled by the police and the attorney general as he tried to get information on the progress of any investigation into the death. The Maltese police informed Neidhardt last Friday that the magisterial inquiry into his son’s death had been concluded and that the driver would be charged in court. “I am glad that we finally received some information about what happened,” Neidhardt told Times of Malta. He said it might be a “strange coincidence” how the police reached out to him following a push by Times of Malta and the Danish media outlet TV2, yet, is relieved he finally received information. “This is the first proper and real information we received from Malta about my son,” he said. An e-mail sent by a member of the police victim support unit gives details on how investigations were concluded “some weeks ago” and the inquiry report by the magistrate had also been concluded.  “The driver of the vehicle was detained on site and tested negative for alcohol,” the e-mail reads. The e-mail states that charges against the driver have been issued and the police are awaiting a date for the first court hearing. No details were provided on when the driver will be arraigned or the exact charges he will face. However, Neidhardt has been assured he will be kept informed as next of kin. In a reply to questions, a police spokesperson confirmed police investigations and the magisterial inquiry have been concluded. While Neidhardt said recounting the death of his son was “very hard”, he was pleased he did, as it finally gave him answers.  “Going over all the e-mails from the attorney general, looking up pictures of Asger and having to recount his death has been very hard,” he said. “Reliving the past was difficult but I am glad I did it and finally received some information.”",2025-02-04,2023-10-22 22:00:00,regional road,st julians,Fatal,25,M,1,Pedestrian,not injured,44,M,0,Car,,,,,,,,,,,20231022
article_3558.0,‘Don’t give up’: Isabelle Bonnici urges father seeking answers for son’s death,"Isabelle Bonnici, the mother of construction victim Jean Paul Sofia, has urged a Danish father seeking answers about his son's tragic death not to give up on advocating for his son.  Lars Neidhardt told Times of Malta that over a year since his son died in Malta in a traffic collision, he has been left in the dark by Maltese authorities.  Asger Emil Neidhard was a 25-year-old IT entrepreneur who came to Malta in October 2023 to enjoy a holiday with friends. Six days later, he died after he was hit by a Honda Accord driven by a 44-year-old man in the Regional Road tunnels. “Ten days after the accident, my son arrived in Denmark in a coffin, and we never heard from the Maltese authorities about what happened to him,” Neidhardt said.  “It’s very frustrating to lose one’s child and not know what happened. Is the case being investigated? Is the driver facing any consequences? We are completely left in the dark.”  While many commenters expressed solidarity with the father and others speculated that achieving justice would be a long and thankless journey that may not even be successful, one voice of encouragement stood out from the rest.  Bonnici urged Neidhardt not to give in to negativity and keep fighting to seek the truth about his son's death.  ""Don't give up on getting justice for your son! Keep voicing your frustration, keep emailing, get the media, do whatever it takes... just don't give up!"" she said.  ""Not giving up gives others the courage to fight for their rights! If we all give up because of the so many injustices around us we will be giving power to the bullies! Let's not give more power to injustice but fight for more power to justice!"" Bonnici's son, Jean Paul Sofia, died when a building collapsed in Corradino in December 2022 in an incident that left five other people injured.  Her tenacity and relentlessness in campaigning for justice for her son made Bonnici a household name, as she stood outside parliament and regularly confronted MPs about Jean Paul's case.  Despite the government's refusal to order a public inquiry into the incident, Bonnici continued to campaign vociferously and mobilised so much public support that Prime Minister Robert Abela was forced to u-turn on the decision, announcing the inquiry just moments before a crowd of thousands turned up in Valletta for a protest vigil.  The inquiry led to an ongoing reform in the construction industry, with Bonnici regularly speaking out about issues in the sector.",2025-01-16,2023-10-22 22:00:00,regional road,st julian's,Fatal,25,M,1,Pedestrian,not injured,44,M,0,Car,,,,,,,,,,,20231022
