id,title,content,date_published,accident_datetime,street,city,A_accident_severity,A_driver_age,A_driver_gender,A_number_injured,A_vehicle_type,B_accident_severity,B_driver_age,B_driver_gender,B_number_injured,B_vehicle_type,C_accident_severity,C_driver_age,C_driver_gender,C_number_injured,C_vehicle_type,D_accident_severity,D_driver_age,D_driver_gender,D_number_injured,D_vehicle_type,accident_date_id,accident_severity,total_injured,C_city,C_street,accident_time_category,accident_time_afternoon,accident_time_early_morning,accident_time_evening,accident_time_late_evening,accident_time_morning,accident_time_night,driver_under_18,driver_18_to_24,driver_25_to_49,driver_50_to_64,driver_65_plus,num_drivers_under_18,num_drivers_18_to_24,num_drivers_25_to_49,num_drivers_50_to_64,num_drivers_65_plus,driver_male,driver_female,driver_unknown,num_drivers_male,num_drivers_female,num_drivers_unknown,num_drivers_total,vehicle_unknown,vehicle_pedestrian,vehicle_bicycle,vehicle_motorbike,vehicle_car,vehicle_van,vehicle_bus,num_vehicle_unknown,num_vehicle_pedestrian,num_vehicle_bicycle,num_vehicle_motorbike,num_vehicle_car,num_vehicle_van,num_vehicle_bus,is_weekend,is_public_holiday_mt,is_school_holiday_mt,is_school_day_mt,street_latitude,street_longitude,street_type,street_type_other,street_type_primary,street_type_residential,street_type_secondary,street_type_tertiary,street_type_trunk,region,region_Central,region_Gozo,region_Northern,region_South Eastern,region_Southern Harbour
article_3834.0,"Driver paid for damages he was never accused of causing, court hears","A driver who was conditionally discharged over a collision that took place 18 years ago, paid for damages to the other driverâ€™s vehicle when he was never charged with causing such damages but only for injuries suffered by that driverâ€™s passenger. Emanuel Gatt was targeted by criminal charges following the accident which took place in Triq il-Mithna, Qormi on December 17, 2006 when he was involved in a collision which resulted in grievous injuries to a woman in the other car. Gatt was subsequently prosecuted for careless and dangerous driving, driving under the influence of alcohol or drugs, having an alcohol level beyond the legal limits as well as causing grievous injuries to the woman. The proceedings dragged on until earlier this year, when the case was assigned to a new magistrate. Eighteen years down the line, Gatt registered an admission to three of the charges, including that related to the injuries involuntarily caused to the victim. When examining the evidence to determine whether Gatt was guilty of the other charges the court, presided over by Magistrate Donatella Frendo Dimech, observed that the only witness who testified in the proceedings was a medical doctor who confirmed that the victim fractured a left-hand finger. She also suffered neck and shoulder injuries. The injuries were classified as grievous because of the fracture Despite the fact that the doctor was the only witness, the proceedings dragged on for 17 years. A court minute dated March 28, 2008 indicated that the driver of the other car had claimed damages to the tune of â‚¬1700. That amount included court expenses. But what was most concerning was the fact that his name was not even mentioned in that court minute. Much less so did he testify, observed the magistrate when delivering judgment. Nor was there any receipt or a single scrap of documentary evidence to support his claim for damages. Yet, while the case dragged on, the accused made â‚¬300 payments to someone named Etienne Bugeja. He appeared to be a relative of the victim and was driving the car at the time of the crash. That fact was understood through the police current incident report which, however, was never confirmed on oath. The magistrate was â€œmost astonishedâ€ by the fact that the court, as previously presided, had permitted such payments for damages allegedly caused to Bugejaâ€™s car when the accused was never charged with causing damage to third party property but only for injuring the passenger. And although he claimed damages totalling â‚¬1700, Bugeja was never even formally identified in the court records. In light of such evidence and the circumstances of the case, the court cleared Gatt of the other charges whilst conditionally discharging him for 40 months over those charges he pleaded guilty to. When meting out punishment, the court took into consideration Gattâ€™s criminal record and the fact that the case had â€œinexplicablyâ€ dragged on for 17 years. The court also imposed a three-month driving ban.",30/12/2024,2006-12-17 00:00:00,triq il-mithna,qormi,Grievious,Unknown,Unknown,1,Car,not injured,Unknown,M,0,Car,,,,,,,,,,,20061217,Grievious,1,qormi,triq il-mithna,night,False,False,False,False,False,True,False,False,False,False,False,0,0,0,0,0,True,False,True,1,0,1,2,False,False,False,False,True,False,False,0,0,0,0,2,0,0,True,False,False,False,35.8830183,14.4734016,secondary,False,False,False,True,False,False,Central,True,False,False,False,False
article_2101.0,Driver jailed for four years for killing passenger in 2017 car crash,"A 48-year-old man has been jailed for four years for causing the death of a passenger in his car during a collision in August 2017. St Paulâ€™s Bay resident Godfrey Gambin was charged with the involuntary homicide of Jane Mary Turner, 45. He was also accused of causing involuntary bodily harm on another driver, causing damages to the other car and violating traffic rules. Police sergeant Denise Camilleri told the court that she was stationed at Mosta Police Station on August 20 2017 when she got the call about a collision on Triq Sir Temi Zammit in MÄ¡arr. The sergeant went on site and found Gambinâ€™s car had overturned, the driver was standing outside and had blood over him. Turner, who was inside Gambinâ€™s car, died on site. The other vehicle was on the pavement in the opposite direction. Gambin was hospitalised and was in intensive care for some time. The other driver told the court that he was going to GÄ§adira and was driving towards MÄ¡arr when he saw an oncoming car coming in the opposite direction in his lane. He had no time to avoid the collision and Gambin crashed his vehicle into the manâ€™s car.  The vehicle spun twice before ending up on the pavement. The windscreen shattered. The driver recalled that when he got out of his car, he found Gambinâ€™s car overturned and the female passenger dead on site. The court, presided over by magistrate Caroline Farrugia Frendo, found Gambin guilty and jailed him for four years. He was fined â‚¬11,600 and his driving licence was suspended for three months as from 2 April 2025. Gambin was also ordered to pay â‚¬2,975.91 in court expenses. Inspector Godwin Scerri prosecuted.",01/04/2025,2017-08-20 15:25:00,triq sir temi zammit,mgarr,Unknown,26,M,1,car,Fatal,41,M,2,car,,,,,,,,,,,20170820,Fatal,3,mgarr,triq sir temi zammit,afternoon,True,False,False,False,False,False,False,False,True,False,False,0,0,2,0,0,True,False,False,2,0,0,2,False,False,False,False,True,False,False,0,0,0,0,2,0,0,True,False,True,False,35.9240642,14.3752357,secondary,False,False,False,True,False,False,Northern,False,False,True,False,False
article_353524.0,Elderly man acquitted of traffic fatality as victim is blamed,"A man has been acquitted of causing the death of a pedestrian in Paola in 2018 after finding that the victim caused the incident through negligence and the motorist could do nothing about it. The accident happened at Triq Wied Bladun on May 13, 2018. George Glanville, now 83, from Fgura was accused of having caused the death of his friend, William Cocker. The court heard that on that day, Glanville was driving his Kia Rio on a clear road. The traffic light was green. Behind him a man rode a motorcycle accompanied by a passenger. Cocker suddenly emerged from behind a wall and attempted to cross the road straight in front of Glanvilleâ€™s car. Glanville told the police he was driving at 40-50 km/hr and stopped the vehicle immediately the accident happened. He got out of his car and spoke to Cocker who was still responsive. He only left the scene after the police allowed him to. Glanville told the police that he was sorry for what had happened, since Cocker was his friend and he had known him for a long time. He also kept visiting Cocker in hospital every two days until his death on May 31. Â  The motorcyclist who had been following Glanville testified that Cocker just crossed the road suddenly. Glanville hit the pedestrian and stopped the car immediately. The man recalled assisting the driver and the victim, who were two elderly men and knew each other. Another eyewitness said that the pedestrian was crossing on the pedestrian crossing when the lights were green for vehicles. Superintendent Hubert Cini testified that Cockerâ€™s injuries were certified as grievous; however, he was not seen at risk of dying at the time. A post-mortem investigation determined, however, that Cockerâ€™s death was a result of the incident. In their submissions on punishment, the prosecution said the charges were issued after the post-mortem examination showed that the victimâ€™s death was caused by the incident. It also argued that while the pedestrian crossed when the lights were green for vehicles, the driver failed to keep a proper lookout. The defence countered that the victim crossed the road without proper look-out when he should not have even crossed. The driver had no time to react. The court referred to the eyewitnesses who testified how Cocker just crossed the road without waiting for the red lights for vehicles. From their testimony, it emerged that the accused could not reasonably have avoided the incident. The court said that it was convinced that the accused was driving responsibly. The evidence showed that the victim had been negligent in this case and that it led to the unfortunate incident. â€œFor this reason, one cannot say that the accused did not keep a proper look out since the victimâ€™s action was unpredictable and there was nothing that the accused could have done to avoid the incident,â€ Magistrate Nadine Sant Lia observed. The court ruled that the incident was caused by Cockerâ€™s imprudence, which created an unpredictable emergency that made it impossible and unreasonable for the accused to take timely action and avoid the incident. Glanville was acquitted of having caused Cockerâ€™s death through negligent driving. Magistrate Nadine Sant Lia presided over the case. Superintendent Hubert Cini prosecuted.",23/07/2025,2018-03-13 00:00:00,triq wied bladun,paola,Fatal,83,M,0,Car,Fatal,none,M,1,Pedestrian,,,,,,,,,,,20180313,Fatal,1,paola,triq wied bladun,night,False,False,False,False,False,True,False,False,False,False,True,0,0,0,0,1,True,False,False,2,0,0,2,False,True,False,False,True,False,False,0,1,0,0,1,0,0,False,False,False,True,35.87264,14.50788,residential,False,False,True,False,False,False,Southern Harbour,False,False,False,False,True
article_1352.0,"Motorcyclist injured in pothole incident awarded â‚¬74,000","A 39-year-old Turkish national has been awarded over â‚¬74,000 in damages following an accident in SiÄ¡Ä¡iewi which left him suffering from a permanent disability. The man was driving his Piaggio Vespa along Triq GÄ§ar Lapsi on May 2, 2020, when he stumbled into a pothole, lost his balance and fell off the motorcycle. He was taken to Mater Dei Hospital where he was certified with grievous injuries. Following the incident, the man returned to Turkey since he needed treatment, and the coronavirus pandemic had hit. He also underwent several surgical interventions. As a result of the incident, he sustained permanent disability, which harmed his quality of life. The man eventually returned to Malta. Through his lawyers, he filed an application before the First Hall of the Civil Court, suing the SiÄ¡Ä¡iewi Local Council and Infrastructure Malta. He requested the court to hold both responsible for the incident and order them to pay him damages. Both Infrastructure Malta and the SiÄ¡Ä¡iewi local council argued that they were not suited, with the road agency arguing that the council was responsible for maintaining the road, while the local council argued that it was in the hands of the agency. In court, the man testified that as he was driving along Triq GÄ§ar Lapsi, direction towards Dingli cliffs, a few meters after he turned the corner, the condition of the road changed dramatically. Who is responsible for the road? He described how the road level went down by a few metres before he drove into a pothole. Moreover, there were no signs that the road surface would deteriorate, and the man said he had no reason to believe that the road surface would change in such a manner. John Fenech from Elles Urban Services Ltd â€“ a company engaged by the council to maintain the roads â€“ acknowledged that the road was in a state of disrepair and it had to be resurfaced. He also testified that the damage to the road was primarily attributable to the frequent passage of heavy vehicles in the service of nearby quarries. He added that the road was not built to take the weight of the vehicles. A police constable similarly testified that the road was in a bad state, noting that there were several cracks in the asphalt and potholes. In establishing who was responsible for the road, the court heard architect David Vassallo from Infrastructure Malta. The witness said the road fell under the responsibility of the local council, however, the road agency intervened and issued an emergency allocation to contractor Philip Agius and Sons for â‚¬1.5 million, excluding VAT, in December 2020. The councilâ€™s executive secretary, Ritianne Giorgino, told the court that while it was within the councilâ€™s boundary, the local council is responsible for maintenance or patching works, while resurfacing falls under the responsibility of the local government. Referring to the mayorâ€™s affidavit, the court observed that while it was outlined that the council has several structures to monitor and ascertain that roads are kept in a good state of repair, this was not the case and notwithstanding the â€œlayers of surveillance adopted by the Council, somewhere down the line, somebody is not doing his job properly or else the technical operandi is not functioning."" The court reminded how the road is used by heavy vehicles and therefore, the road should have been monitored more closely and frequently. It also observed that it was only after the plaintiff was injured that the road was properly repaired. The court concluded that the council was wholly to blame for the accident.Â  When it came to calculating damages, it took into consideration that 21 months after the accident, the manâ€™s radial nerve did not make a full recovery, and this was most likely improbable. It also took into consideration the court-appointed expertâ€™s observations on the fracture of the distal tibia, which involved an articular surface of the ankle joint and will inevitably lead to arthritic change. The motorcyclist also ended up with substantial amounts of metal implants attached to the humerus and tibia. These foreign bodies provide a slightly increased risk of bone infection during bacetermia, according to the expert. After calculating the damages, the court declared the SiÄ¡Ä¡iewi local council responsible for the incident and ordered it to pay the man â‚¬74,873. Mr Justice Toni Abela presided over the court. Lawyers Kris Busietta and Alessandro Farrugia assisted the plaintiff.",09/05/2025,2020-05-02 08:00:00,triq ghar lapsi,siggiewi,Serious,39,M,1,Motorbike,,,,,,,,,,,,,,,,20200502,Serious,1,siggiewi,triq ghar lapsi,early_morning,False,True,False,False,False,False,False,False,True,False,False,0,0,1,0,0,True,False,False,1,0,0,1,False,False,False,True,False,False,False,0,0,0,1,0,0,0,True,False,False,False,35.83321,14.43274,secondary,False,False,False,True,False,False,Central,True,False,False,False,False
article_490632.0,â€˜Why do we have to beg for justice?â€™,"The brother of a food courier killed in a freak accident more than three years ago is appealing for justice as the magisterial inquiry is still ongoing. In February 2022, 28-year-old Nepali delivery driver Ajay Shrestha died when a truck overturned on Marsaâ€™s Aldo Moro Road. The vehicle ploughed into a lamppost before spilling its load of scrap metal onto oncoming traffic, fatally crushing Shrestha. Shrestha, known to friends as â€˜AJâ€™, had moved to Malta from Nepal in 2018 in search of work. Just a week before the accident, he had celebrated his 28th birthday. â€œIt has been three years now since my brotherâ€™s death, and nothing has happened. Nobody has contacted me,â€ Ajayâ€™s older brother, Anil, told Times of Malta.  Anil recalled how his sibling always had a smile on his face and, during his time in Malta, made a lot of friends. â€œHe was very passionate about sport, he played cricket back at home and loved to play music. He was never angry with anyone and was just a very good person.â€ He said the two were always together from childhood until the fatal accident changed that. â€œAll my family wants is justice for Ajay. We understand that it was an accident, but we deserve and need this justice and to know that someone is looking into my brotherâ€™s case.â€",17/08/2025,2022-02-01 00:00:00,aldo moro road,marsa,Fatal,28,M,1,Motorbike,Fatal,none,none,0,van,,,,,,,,,,,20220201,Fatal,1,marsa,aldo moro road,night,False,False,False,False,False,True,False,False,True,False,False,0,0,1,0,0,True,False,True,1,0,1,2,False,False,False,True,False,True,False,0,0,0,1,0,1,0,False,False,False,True,35.8772393,14.4948062,trunk,False,False,False,False,False,True,Southern Harbour,False,False,False,False,True
article_3861.0,Mother calls for stricter penalties after sonâ€™s road death,"The mother of a 21-year-old man who died in a traffic accident two years ago believes the courts are too lenient in suspending the licences of drivers responsible for serious or fatal collisions. Fiona Laferlaâ€™s son, Ben, was a passenger in a rental car driven by his friend, Maxime Asacha Muehlematter, when it crashed into a wall on Triq il-Madliena in Swieqi. Last month, Muehlematter received a suspended jail sentence and a one-year driving ban after admitting to involuntarily causing Benâ€™s death on September 24, 2022. Maltese traffic regulations stipulate a minimum driving ban of six months to a year, with courts having discretion over the final length based on the specific circumstances.  Lingering questions In court, it emerged that the front seatbelts were elongated but those at the back were stiff, indicating Ben and Flo had not been wearing them. After the crash, first aiders found Ben outside the car. A passer-by pulled him out to try to help. Maxâ€™s 17-year-old girlfriend initially claimed she was driving. She later admitted she lied, thinking her age would protect her from charges. She received a conditional discharge. A bottle of rum and another bottle of alcohol was found in the car, leading to public assumptions about the groupâ€™s behaviour. Fiona derides the â€œcallous commentsâ€ and clarifies that Ben had had the bottle of rum for weeks. Fiona remains unconvinced about the reported speed of 35km/hr, noting that Benâ€™s injuries seemed too severe. â€œYou know how many times my sister and I tried taking a sudden break at that speed to try to understand? I know that stupid things happen. In this case, there was a wall. But there are still questions.â€ The mother says the car safety element was never explored during the court case. â€œThere is always a fault â€“ but there are other things to consider that go beyond the driver: is the car properly maintained? Is the road too dark?â€ Fiona was hoping the court case would give her the answers. It did not, and she found it painful when a defence lawyer attempted to discredit Ben and Flo, even though they were sitting at the back. In the end, following a change of lawyer, Max admitted to causing Benâ€™s death. The prosecution withdrew charges relating to reckless and negligent driving as well as driving under the influence, because there was no material evidence that could lead to a conviction. â€œI wasnâ€™t hoping Max goes to prison because I wasnâ€™t out for vengeance. I donâ€™t want to persecute the boy. Ben loved him. He was his friend. That was meant to be down the road and coming back. You donâ€™t think itâ€™s going to happen to youâ€¦ Just because Ben is not here doesnâ€™t mean Max cannot have a life.â€ And now, Fiona says, her mission is to keep Benâ€™s memory alive. One way of doing it by promoting a â€˜Ben Lafestaâ€™ charity event, among other events in the pipeline. â€œThat keeps me going,â€ she says.",29/12/2024,2022-09-24 00:00:00,triq il-madliena,swieqi,Fatal,22,M,1,Car,,,,,,,,,,,,,,,,20220924,Fatal,1,swieqi,triq il-madliena,night,False,False,False,False,False,True,False,True,False,False,False,0,1,0,0,0,True,False,False,1,0,0,1,False,False,False,False,True,False,False,0,0,0,0,1,0,0,True,False,False,False,35.92788,14.48096,primary,False,True,False,False,False,False,Northern,False,False,True,False,False
article_167578.0,"Motorist fined â‚¬4,000 after grievously injuring woman using pelican crossing","A motorist has been fined â‚¬4,000 after being found guilty of grievously injuring a pedestrian after he crashed into a car waiting at a pelican crossing, sending it smashing into a woman crossing the road. St Paulâ€™s Bay resident Jithu James, 32, was accused of driving a vehicle in a dangerous, negligent and reckless manner and grievously injuring a pedestrian in an incident that occurred in October 2023. A motorist who was on his way home from work at the time of incident, explained he had been waiting for pedestrians to cross a pelican crossing on December 13 Road when he saw a vehicle being driven at an â€œabnormalâ€ speed. The speeding vehicle crashed into the witnessâ€™ car, which in turn hit a pedestrian using the crossing. The witness exited his vehicle, called the emergency services and went to assist a woman who was lying on the ground. In his testimony, he recalled that she was not in a â€œgoodâ€ state. Under cross-examination he confirmed he had stopped but not pulled up his handbrake. He also confirmed he had not been charged in connection with the incident. Another witness, who had been using the crossing at the time of the incident, explained he had been crossing the road with his dog, with a woman walking next to him. Two cars had been waiting for pedestrians to finish using the crossing, he recalled, when a third car crashed into one of the stationary cars. He added that his dog lost a tooth in the crash. The man remained with the woman until the ambulance came. The court in its considerations held that James failed to maintain a proper lookout while driving, especially when approaching a pedestrian crossing. The man was fined â‚¬4,000 and had 10 points knocked off his licence. He was disqualified from holding a driving licence for three months. Magistrate Yana Micallef Stafrace presided.",15/07/2025,2023-10-01 00:00:00,december 13 road,st paul's bay,Grievious,32,M,0,Car,Grievious,none,M,0,Car,Grievious,none,F,1.0,Pedestrian,,,,,,20231001,Grievious,1,san pawl il bahar,triq dicembru tlettax,night,False,False,False,False,False,True,False,False,True,False,False,0,0,1,0,0,True,True,False,2,1,0,3,False,True,False,False,True,False,False,0,1,0,0,2,0,0,True,False,False,False,35.8786271,14.4913829,trunk,False,False,False,False,False,True,Northern,False,False,True,False,False
article_3558.0,â€˜Donâ€™t give upâ€™: Isabelle Bonnici urges father seeking answers for sonâ€™s death,"Isabelle Bonnici, the mother of construction victim Jean Paul Sofia, has urged a Danish father seeking answers about his son's tragic death not to give up on advocating for his son.Â  Lars Neidhardt told Times of Malta that over a year since his son died in Malta in a traffic collision, he has been left in the dark by Maltese authorities.Â  Asger Emil Neidhard was a 25-year-old IT entrepreneur who came to Malta in October 2023 to enjoy a holiday with friends.Â Six days later, he diedÂ after he was hit by a Honda Accord driven by a 44-year-old man in the Regional Road tunnels. â€œTen days after the accident, my son arrived in Denmark in a coffin, and we never heard from the Maltese authorities about what happened to him,â€ Neidhardt said.Â  â€œItâ€™s very frustrating to lose oneâ€™s child and not know what happened. Is the case being investigated? Is the driver facing any consequences? We are completely left in the dark.â€  While many commenters expressed solidarity with the father and others speculated that achieving justice would be a long and thankless journey that may not even be successful, one voice of encouragement stood out from the rest.Â  Bonnici urged Neidhardt not to give in to negativity and keep fighting to seek the truth about his son's death.Â  ""Don't give up on getting justice for your son! Keep voicing your frustration, keep emailing, get the media, do whatever it takes... just don't give up!"" she said.Â  ""Not giving up gives others the courage to fight for their rights! If we all give up because of the so many injustices around us we will be giving power to the bullies! Let's not give more power to injustice but fight for more power to justice!"" Bonnici's son, Jean Paul Sofia, died when a building collapsed in Corradino in December 2022 in an incident that left five other people injured.Â  Her tenacity and relentlessness in campaigning for justice for her son made Bonnici a household name, as she stood outside parliament and regularly confronted MPs about Jean Paul's case.Â  Despite the government's refusal to order a public inquiry into the incident, Bonnici continued to campaign vociferously and mobilised so much public support that Prime Minister Robert Abela was forced to u-turn on the decision, announcing the inquiry just moments before a crowd of thousands turned up in Valletta for a protest vigil.Â  The inquiry led to an ongoing reform in the construction industry, with Bonnici regularly speaking out about issues in the sector.",16/01/2025,2023-10-22 22:00:00,regional road,st julian's,Fatal,25,M,1,Pedestrian,not injured,44,M,0,Car,,,,,,,,,,,20231022,Fatal,1,st julian,regional road,late_evening,False,False,False,True,False,False,False,False,True,False,False,0,0,2,0,0,True,False,False,2,0,0,2,False,True,False,False,True,False,False,0,1,0,0,1,0,0,True,False,False,False,35.9034355,14.4867323,trunk,False,False,False,False,False,True,Northern,False,False,True,False,False
article_495320.0,Woman cleared of causing collision with six parked cars,"A court has cleared a woman of crashing a car into six parked vehicles after the prosecution failed to prove she was the driver. The incident happened in Naxxar Road, Birkirkara, on March 19, 2022. Esther Mifsud was arraigned before Magistrate Yana Micallef Stafrace and accused of dangerous and reckless driving, damaging the six parked cars due to negligence, and driving under the influence of alcohol. She denied the charges. The court observed that affidavits presented in court were â€œinconclusiveâ€ and â€œconfusingâ€ as to who was actually driving the vehicle at the time of the incident. It pointed out that jurisprudence laid down that the evidence on identity needs to be â€œclearâ€ and â€œunequivocalâ€. In this case the prosecution failed to prove beyond a reasonable doubt that the accused was driving the vehicle at the time of the incident and that she was driving under the influence. It was also noted that while the police had alleged that bodycam used by officers on the scene was switched on at the time of the incident, footage was never presented in court. â€œHad this evidence been presented, it would clearly have helped the court to identify the person behind the wheel,â€ Magistrate Yana Micallef Stafrace said. The court acquitted Mifsud of all charges brought against her.</p><p>Police inspector Diane Vella prosecuted. Lawyer Charles Mercieca appeared for the accused.",30/09/2025,2024-03-19 00:00:00,naxxar road,birkirkara,not injured,none,F,0,car,,,,,,,,,,,,,,,,20240319,not injured,0,birkirkara,naxxar road,night,False,False,False,False,False,True,False,False,False,False,False,0,0,0,0,0,False,True,False,0,1,0,1,False,False,False,False,True,False,False,0,0,0,0,1,0,0,False,True,False,False,35.8980141,14.4596416,primary,False,True,False,False,False,False,Central,True,False,False,False,False
article_495942.0,Traffic collision case collapses over identification failure and police error,"A St Paulâ€™s Bay man accused of causing a traffic collision has been acquitted after the alleged victim failed to identify him in court and police failed to follow proper procedures during the investigation. Dennis Attard, 49, of Triq l-Imsida, Santa Venera, faced five charges stemming from a collision on 23 September 2024 in Triq Censu Tabone, St Paulâ€™s Bay, including reckless driving, causing involuntary damage, driving without a licence, driving an unlicensed vehicle, and driving without insurance. The case centred on a collision between Attardâ€™s vehicle and a motorcycle ridden by Marland Herman Jones. Jones told the court he was riding down a narrow street when a car â€œjust kind of jumped inâ€ and pulled out in front of him. â€œI braked as hard as I could but I hit the I believe his door or the front right quarter panel,â€ he testified, adding that he â€œjust kind of fell over and jumped up cursing.â€ Jones explained that the driver claimed he had to leave urgently because â€œhis daughter was giving birth.â€ They exchanged phone numbers via WhatsApp, but when Jones attempted to contact him, he received no response despite seeing the messages had been viewed. â€œI tried to contact him again, no answer. He viewed the I saw it through the messaging app. I could tell that he watched it,â€ Jones testified. However, when asked to identify the accused in court, Jones admitted: â€œActually at at this date I canâ€™t recognize him in court, if this is the gentleman, I donâ€™t quite recognize him, I have to be honest.â€ He explained he had identified someone at the police station â€œover 8 months agoâ€ but â€œcouldnâ€™t tell you now.â€ The defence suggested Jones had hit the car from behind, but Jones firmly rejected this, stating repeatedly: â€œThatâ€™d be completely incorrectâ€ and â€œThatâ€™d be incredibly incorrect.â€ Magistrate Yana Micallef Stafrace dismissed all charges on Monday, ruling that Jones â€œdid not recognise the accused in Courtâ€ and noting his claimed identification at the police station â€œdoes not result from the police affidavit.â€ Moreover, the court found that â€œon the day of the collision the right to silence was not administered to the accused as required by law.â€ Court therefore concluded that â€œthe evidence does not provide beyond reasonable doubt all the elements of the crime, and therefore the imputations have not been proven to the degree required in the criminal field.â€ Attard chose not to testify and was acquitted of all charges.",06/10/2025,2024-09-23 00:00:00,triq censu tabone,st pauls bay,not injured,49,M,0,Car,not injured,none,M,0,Motorbike,,,,,,,,,,,20240923,not injured,0,san pawl il bahar,triq censu tabone,night,False,False,False,False,False,True,False,False,True,False,False,0,0,1,0,0,True,False,False,2,0,0,2,False,False,False,True,True,False,False,0,0,0,1,1,0,0,False,False,False,True,35.94988,14.40962,residential,False,False,True,False,False,False,Northern,False,False,True,False,False
