id,latitude,longitude,accident_datetime,temperature_max,temperature_min,temperature_mean,precipitation_sum,windspeed_max,is_raining
article_3834.0,35.8830183,14.4734016,2006-12-17 00:00:00,18.0,16.5,17.4,4.9,35.4,True
article_2101.0,35.9240642,14.3752357,2017-08-20 15:25:00,30.0,25.0,27.1,0.0,23.4,False
article_353524.0,35.87264,14.50788,2018-03-13 00:00:00,16.8,13.2,14.9,0.0,31.3,False
article_1352.0,35.83321,14.43274,2020-05-02 08:00:00,20.3,16.6,18.5,0.0,35.1,False
article_490632.0,35.8772393,14.4948062,2022-02-01 00:00:00,14.3,10.4,12.4,0.4,53.4,True
article_3861.0,35.92788,14.48096,2022-09-24 00:00:00,25.0,20.7,22.9,0.0,20.7,False
article_167578.0,35.8786271,14.4913829,2023-10-01 00:00:00,26.4,20.9,23.8,0.9,9.7,True
article_3558.0,35.9034355,14.4867323,2023-10-22 22:00:00,26.5,21.6,23.9,0.0,21.4,False
article_495320.0,35.8980141,14.4596416,2024-03-19 00:00:00,19.8,12.1,16.0,0.0,20.9,False
article_495942.0,35.94988,14.40962,2024-09-23 00:00:00,26.5,20.8,23.5,7.3,22.7,True
article_4208.0,35.9034355,14.4867323,2024-12-04 17:00:00,19.5,14.7,17.6,1.1,21.9,True
release_83,35.9210351,14.4383658,2024-12-11 11:15:00,18.0,12.1,14.9,0.0,9.9,False
article_4024.0,35.9469478,14.3994613,2024-12-11 17:00:00,18.4,12.5,15.4,0.0,9.9,False
release_91,35.9670439,14.3518793,2024-12-13 17:30:00,20.9,18.4,19.5,0.0,28.4,False
release_22,35.8522112,14.4985812,2024-12-13 19:45:00,20.3,17.8,19.0,0.0,28.2,False
article_4049.0,36.02573,14.29241,2024-12-15 20:30:00,17.9,13.8,16.2,4.3,41.7,True
article_4014.0,35.83296,14.44018,2024-12-17 14:15:00,16.4,12.4,14.3,0.0,19.2,False
article_3989.0,35.8786271,14.4913829,2024-12-19 00:00:00,17.1,14.9,15.9,0.0,23.7,False
release_63,35.8963504,14.4561623,2024-12-19 08:15:00,17.1,14.9,16.0,0.4,25.4,True
release_108,35.9089538,14.440024,2024-12-19 10:45:00,17.1,14.9,16.0,0.4,25.4,True
article_3991.0,35.9462438,14.4481762,2024-12-20 00:00:00,19.2,13.4,17.0,0.8,47.7,True
article_3976.0,35.8980141,14.4596416,2024-12-20 11:30:00,18.9,13.1,16.8,0.8,47.7,True
article_3976.5,35.9107529,14.5000793,2024-12-20 11:45:00,19.0,13.2,16.5,0.4,43.3,True
release_68,35.9369975,14.4339269,2024-12-22 09:30:00,15.7,13.3,14.5,1.4,30.8,True
article_3704.0,35.8903766,14.3931157,2024-12-22 10:15:00,14.9,12.5,13.7,1.4,30.8,True
article_3910.0,35.9034355,14.4867323,2024-12-23 10:30:00,16.8,10.4,14.0,3.2,42.8,True
release_59,35.8981962,14.4867393,2024-12-25 15:30:00,13.4,11.4,12.2,0.7,30.2,True
release_25,35.8786271,14.4913829,2024-12-27 07:45:00,15.4,12.3,13.9,4.2,23.8,True
article_3900.0,35.85592,14.53341,2024-12-27 11:30:00,15.4,12.3,13.9,4.2,23.8,True
release_56,35.85592,14.53341,2024-12-27 12:00:00,15.4,12.3,13.9,4.2,23.8,True
release_10,35.87334,14.53592,2024-12-28 09:15:00,16.0,13.2,14.3,0.2,13.2,True
article_3766.0,35.9003979,14.4751653,2025-01-05 07:00:00,17.0,14.2,15.3,0.0,17.2,False
release_84,35.8723089,14.5218635,2025-01-06 20:00:00,18.4,13.9,16.2,0.0,22.5,False
article_3699.0,35.874767,14.4608589,2025-01-06 21:00:00,18.1,14.8,16.3,0.0,23.8,False
release_27,35.874767,14.4608589,2025-01-06 21:20:00,18.1,14.8,16.3,0.0,23.8,False
article_3671.0,35.8847418,14.3972858,2025-01-09 11:00:00,16.8,12.8,14.5,0.0,17.8,False
article_3601.0,35.8801056,14.4930563,2025-01-15 07:45:00,14.3,10.0,12.3,3.3,27.9,True
release_800,35.85431,14.52877,2025-01-15 07:45:00,14.3,10.0,12.3,3.3,27.9,True
article_3586.0,35.91672,14.50203,2025-01-15 16:45:00,14.3,10.0,12.3,3.3,27.9,True
release_88,35.8298773,14.4695035,2025-01-15 19:30:00,14.0,9.4,11.8,1.5,26.6,True
article_3551.0,35.92741,14.45192,2025-01-16 10:15:00,15.2,9.0,12.0,4.2,19.6,True
article_102356.0,35.95031,14.40688,2025-01-20 00:00:00,17.0,12.2,14.5,0.4,16.6,True
release_105,35.9104721,14.4987943,2025-01-22 18:00:00,17.9,12.2,15.0,0.0,13.5,False
release_40,35.8981962,14.4867393,2025-01-23 20:15:00,18.8,14.8,16.4,0.0,22.0,False
article_3408.0,35.9462438,14.4481762,2025-01-25 13:00:00,17.9,12.2,14.9,0.0,16.9,False
release_54,35.9462438,14.4481762,2025-01-25 14:30:00,17.9,12.2,14.9,0.0,16.9,False
release_47,35.85463,14.48697,2025-02-01 05:00:00,16.9,14.2,15.5,2.1,30.0,True
release_470,35.9066493,14.4936073,2025-02-01 12:45:00,17.1,14.4,15.8,2.1,30.0,True
release_79,35.8709648,14.5040803,2025-02-03 19:00:00,15.0,11.4,13.1,0.5,13.7,True
article_3197.0,35.8565578,14.5306657,2025-02-04 11:30:00,16.3,11.2,13.3,0.6,7.8,True
release_107,35.8905211,14.4223,2025-02-05 09:00:00,15.7,10.6,13.0,0.9,12.6,True
article_3169.0,35.91438,14.44251,2025-02-06 08:00:00,15.6,11.7,13.3,0.0,19.4,False
release_100,36.0672705,14.259524,2025-02-08 21:00:00,14.8,13.8,14.5,22.6,51.4,True
release_102,35.8702636,14.5103851,2025-02-09 01:30:00,14.6,12.2,13.3,3.6,21.7,True
release_43,35.862551,14.5587173,2025-02-09 09:45:00,14.6,12.2,13.3,3.6,21.7,True
article_3090.0,35.8628353,14.498719,2025-02-10 21:00:00,15.6,10.9,13.2,0.3,25.7,True
article_3001.0,35.90473,14.45781,2025-02-14 23:45:00,17.4,10.4,14.0,10.5,18.9,True
release_41,35.89784,14.49012,2025-02-15 00:00:00,16.9,12.9,14.1,2.9,29.4,True
article_2974.0,35.83247,14.43691,2025-02-16 11:00:00,15.3,11.4,13.3,1.5,41.5,True
release_48,36.04447,14.23953,2025-02-17 12:45:00,14.7,13.7,14.2,0.0,23.4,False
article_2940.0,35.84792,14.5129,2025-02-17 13:00:00,16.7,11.9,13.8,0.0,13.1,False
release_42,35.8723089,14.5218635,2025-02-19 18:00:00,16.4,10.9,13.6,1.4,11.7,True
release_17,35.87541,14.51328,2025-02-21 07:30:00,14.8,12.6,13.4,1.5,17.3,True
release_19,35.9034355,14.4867323,2025-02-21 13:30:00,14.8,12.6,13.4,1.5,17.3,True
article_2792.5,35.9670439,14.3518793,2025-02-24 14:15:00,15.9,10.4,12.9,1.4,10.1,True
article_2745.0,35.88641,14.48827,2025-02-24 23:45:00,16.0,10.1,12.9,1.3,8.3,True
article_2666.0,35.8772393,14.4948062,2025-03-03 07:00:00,16.1,13.4,15.0,0.9,28.2,True
article_2658.0,36.02573,14.29241,2025-03-03 07:00:00,15.9,14.5,14.9,0.4,43.8,True
article_2557.0,35.9467503,14.3916683,2025-03-08 19:30:00,17.3,13.1,15.1,0.0,18.9,False
article_2492.0,36.0672705,14.259524,2025-03-13 14:45:00,16.7,15.7,16.2,0.0,24.7,False
article_2452.0,35.8919893,14.4089334,2025-03-14 10:00:00,22.1,16.0,19.5,0.0,34.3,False
article_2461.0,35.8772491,14.5138522,2025-03-14 22:30:00,22.4,16.0,19.5,0.0,32.4,False
