,is_accident,accident_datetime,street,city,number_injured,accident_severity,drivers,id_column,input_text,accidents
0,True,2025-10-09 09:30,Triq il-Belt Valletta,Żurrieq,1.0,Serious,"[{'vehicle_type': 'Car', 'vehicle_damage_severity': 'none', 'driver_age': 67, 'driver_gender': 'F', 'is_victim': False}, {'vehicle_type': 'Motorbike', 'vehicle_damage_severity': 'none', 'driver_age': 61, 'driver_gender': 'M', 'is_victim': True}]",1,"Title: Collision between a car and a motorbike in Żurrieq
Content: Today, at around 0930hrs, the Police were informed of a traffic accident on Triq il-Belt Valletta, Żurrieq.The Police immediately went to the scene and from a preliminary investigation it resulted that a collision had occurred between a Toyota Aqua driven by a 67-year-old woman resident of Żurrieq and a Piaggio Beverly motorbike driven by a 61-year-old man from Mqabba.A medical team was called to the scene and an ambulance took the motorbike driver to Mater Dei Hospital, where he was certified to be seriously injured.Magistrate Dr Monica Borg Galea LL.D was informed and appointed an inquiry while Police investigations are still ongoing.
Publish Date: 2025-10-09",
1,True,2025-06-19 18:30,Triq Dawret il-Gudja,Gudja,1.0,Serious,"[{'vehicle_type': 'Honda fit', 'vehicle_damage_severity': 'none', 'driver_age': 64, 'driver_gender': 'M', 'is_victim': False}, {'vehicle_type': 'Kawasaki Ninja motorcycle', 'vehicle_damage_severity': 'none', 'driver_age': 23, 'driver_gender': 'M', 'is_victim': True}]",2,"Title: Car-motorcycle traffic accident
Content: Yesterday, at around 1830hrs, the Police were informed of a traffic accident in Triq Dawret il-Gudja, Gudja.Preliminary investigations showed that a collision occurred between a Honda fit that was being driven by a 64-year-old man from Santa Luċija and a Kawasaki Ninja motorcycle that was being driven by a 23-year-old man from Gudja.A medical team was called on site and an ambulance took the motorcyclist to Mater Dei Hospital. He was later certified to have sustained grievous injuries.Police investigations are ongoing.
Publish Date: 2025-06-20",
2,True,2025-05-12 08:00,Valley Road,Qormi,1.0,Serious,"[{'vehicle_type': 'Ford Transit', 'vehicle_damage_severity': 'none', 'driver_age': 34, 'driver_gender': 'M', 'is_victim': False}, {'vehicle_type': 'Honda motorcycle', 'vehicle_damage_severity': 'none', 'driver_age': 29, 'driver_gender': 'M', 'is_victim': True}]",3,"Title: Car-motorcycle collision in Ħal Qormi
Content: Today, at around 0800hrs, the Police were informed of a traffic accident in Valley Road, Qormi.Preliminary investigations showed that a collision occurred between a Ford Transit driven by a 34-year-old man residing in Żebbuġ and a Honda motorcycle driven by a 29-year-old man who lives in Qormi.A medical team was called on site and an ambulance took the motorcyclist to Mater Dei Hospital. He was later certified to have sustained grievous injuries.Police investigations are ongoing.
Publish Date: 2025-05-12",
3,True,2025-07-29 18:00,Triq Dawret Ħal Għaxaq,Għaxaq,1.0,Serious,"[{'vehicle_type': 'Volvo XC60', 'vehicle_damage_severity': 'none', 'driver_age': 42, 'driver_gender': 'M', 'is_victim': False}, {'vehicle_type': 'Malaguti Madison motorcycle', 'vehicle_damage_severity': 'none', 'driver_age': 29, 'driver_gender': 'M', 'is_victim': True}]",4,"Title: Collision between motorcycle and car in Għaxaq
Content: Yesterday, at around 1800hrs, the Police were informed of a traffic accident in Triq Dawret Ħal Għaxaq, Għaxaq.Preliminary investigations by the Police found that there was a collision between a Volvo XC60 that was being driven by a 42-year-old man from Għaxaq and a Malaguti Madison motorcycle that was being driven by a 29-year-old Brazilian man from Zurrieq.A medical team was called on site and an ambulance took the motorcyclist to Mater Dei Hospital for treatment where he was later certified to have sustained grievous injuries.Police investigations are ongoing.
Publish Date: 2025-07-30",
4,True,2025-04-06 20:45,Triq il-Buqana,Rabat,1.0,Serious,"[{'vehicle_type': 'Car', 'vehicle_damage_severity': 'none', 'driver_age': 25, 'driver_gender': 'M', 'is_victim': False}, {'vehicle_type': 'Motorcycle', 'vehicle_damage_severity': 'none', 'driver_age': 41, 'driver_gender': 'M', 'is_victim': True}]",5,"Title: Car-motorcycle collision
Content: Yesterday, at around quarter to nine in the evening (2045hrs), the Police were informed of a traffic accident in Triq il-Buqana, Rabat.Preliminary investigations showed that a collision occurred between a Kia Avella driven by a 25-year-old man from Santa Luċija and a Kymco Agility motorcycle driven by a 41-year-old man from Birkirkara.A medical team was called on site and an ambulance took the motorcyclist to Mater Dei Hospital. He was later certified to have sustained grievous injuries.Police investigations are ongoing.
Publish Date: 2025-04-07",
5,True,2025-04-15 08:50,Triq Aldo Moro,Marsa,1.0,Serious,"[{'vehicle_type': 'Motorcycle', 'vehicle_damage_severity': 'none', 'driver_age': 36, 'driver_gender': 'M', 'is_victim': True}, {'vehicle_type': 'Van', 'vehicle_damage_severity': 'none', 'driver_age': 52, 'driver_gender': 'M', 'is_victim': False}, {'vehicle_type': 'Car', 'vehicle_damage_severity': 'none', 'driver_age': 53, 'driver_gender': 'M', 'is_victim': False}]",6,"Title: Traffic accident in Marsa
Content: Yesterday, at around ten minutes to nine in the morning (0850 hrs), the Police were informed of a traffic accident in Triq Aldo Moro, Marsa.Preliminary investigations by the District Police found that a collision occurred between a Yamaha motorcycle driven by a 36-year-old man from Cospicua, an Isuzu Elf van driven by a 52-year-old man from Fgura and a Hyundai Kona driven by a 53-year-old man from Żabbar.A medical team was called on site to assist and an ambulance took the motorcyclist to Mater Dei Hospital for treatment. He was later certified to have sustained grievous injuries.Police investigations in connection with this incident are ongoing.
Publish Date: 2025-04-16",
6,True,2025-07-23 10:30,Mosta Road,Lija,2.0,Fatal,"[{'vehicle_type': 'Renault Trafic van', 'vehicle_damage_severity': 'none', 'driver_age': 24, 'driver_gender': 'M', 'is_victim': True}, {'vehicle_type': 'Suzuki Swift', 'vehicle_damage_severity': 'none', 'driver_age': 81, 'driver_gender': 'M', 'is_victim': True}]",7,"Title: Van-car collision in Lija
Content: Today, at around 1030hrs, the Police were informed of a traffic accident in Mosta Road, Lija.The Police immediately went to the scene and from a preliminary investigation it resulted that a collision had occurred between a Renault Trafic van driven by a 24-year-old man residing in Mtarfa and a Suzuki Swift driven by an 81-year-old man residing in Mosta. In the Suzuki, there was also a 79-year-old woman who lives in Mosta.Members of the Civil Protection Department were called to the scene, as well as a medical team, and ambulances took all the people to Mater Dei Hospital to be given the necessary treatment.Unfortunately, the woman was certified dead a short time later while the other elderly man is in a serious condition. The other man was certified with slight injuries.Magistrate Dr Ian Farrugia LL.D was informed of the case and appointed an inquiry while Police investigations are ongoing.
Publish Date: 2025-07-23",
7,True,2025-08-03 08:15,Triq tal-Barrani,Żejtun,2.0,Serious,"[{'vehicle_type': 'Peugeot Tweet', 'vehicle_damage_severity': 'none', 'driver_age': 66, 'driver_gender': 'M', 'is_victim': True}, {'vehicle_type': 'Kawazaki motorcycle', 'vehicle_damage_severity': 'none', 'driver_age': 30, 'driver_gender': 'F', 'is_victim': True}]",8,"Title: Zejtun traffic accident
Content: This morning, at around 0815 hrs, the Police were informed of a traffic accident in Triq tal-Barrani, Żejtun.Preliminary investigations showed that a collision occurred between a Peugeot Tweet driven by a 66-year-old man from Zabbar and a Kawazaki motorcycle driven by a 30-year-old woman who lives in Marsaxlokk.A medical team was called on site and an ambulance took both drivers to Mater Dei Hospital for treatment. The man was later certified as suffering from serious injuries while the woman was certified as suffering from grievous injuries.Police investigations are ongoing.
Publish Date: 2025-08-03",
8,True,2025-06-11 15:45,John Adye Street,Naxxar,1.0,Serious,"[{'vehicle_type': 'Motorcycle', 'vehicle_damage_severity': 'none', 'driver_age': 35, 'driver_gender': 'M', 'is_victim': True}, {'vehicle_type': 'Isuzu Rodeo', 'vehicle_damage_severity': 'none', 'driver_age': 59, 'driver_gender': 'M', 'is_victim': False}]",9,"Title: Motorcyclist injured in traffic accident
Content: On wednesday the 11th of June, at around four in the afternoon (1545 hrs), the Police were informed of a traffic accident in John Adye Street, Naxxar.Preliminary investigations showed that a collision occurred between a Honda motorcycle driven by a 35-year-old man from Bosnia and Herzegovina and a resident of Għargħur and an Isuzu Rodeo driven by a 59-year-old man from Marsa.A medical team was called on site and an ambulance took the motorcyclist to Mater Dei where he was later certified to have sustained grievous injuries.Police investigations are ongoing.
Publish Date: 2025-06-14",
9,True,2024-12-28 09:15,St James Square,Zabbar,9.0,Serious,"[{'vehicle_type': 'none', 'vehicle_damage_severity': 'none', 'driver_age': 79, 'driver_gender': 'M', 'is_victim': False}]",10,"Title: Number of persons hospitalised following Żabbar accident
Content: Today, at around quarter past nine in the morning (0915 hrs), assistance was requested in St James Square, Zabbar after a vehicle hit a number of people.The Police went immediately on site together with a number of ambulances and members of the Civil Protection Department.It resulted from initial investigations that a 79-year-old man, from Zabbar, lost control of the vehicle he was driving and accidentally hit some persons. He was taken to Mater Dei Hospital for observation, but it was later confirmed that he was not injured.Four women, aged 39, 66, 77 and 84, and two men aged 36 and 81, all residing in Zabbar, were taken to Mater Dei Hospital by ambulances. The 84-year-old woman was later certified as suffering from grievous injuries and the others were certified as suffering from slight injuries. Three other persons were treated at the scene of the accident.Police investigations in connection with this incident are ongoing.
Publish Date: 2024-12-28",
